cohort_month,retention_month_number,cohort_customer_count,retained_customer_count,customer_retention_rate
2016-09,0,1,1,1.0
2016-09,1,1,0,0.0
2016-09,2,1,0,0.0
2016-09,3,1,0,0.0
2016-09,4,1,0,0.0
2016-09,5,1,0,0.0
2016-09,6,1,0,0.0
2016-09,7,1,0,0.0
2016-09,8,1,0,0.0
2016-09,9,1,0,0.0
2016-09,10,1,0,0.0
2016-09,11,1,0,0.0
2016-09,12,1,0,0.0
2016-09,13,1,0,0.0
2016-09,14,1,0,0.0
2016-09,15,1,0,0.0
2016-09,16,1,0,0.0
2016-09,17,1,0,0.0
2016-09,18,1,0,0.0
2016-09,19,1,0,0.0
2016-09,20,1,0,0.0
2016-09,21,1,0,0.0
2016-09,22,1,0,0.0
2016-09,23,1,0,0.0
2016-10,0,262,262,1.0
2016-10,1,262,0,0.0
2016-10,2,262,0,0.0
2016-10,3,262,0,0.0
2016-10,4,262,0,0.0
2016-10,5,262,0,0.0
2016-10,6,262,1,0.003816793893129771
2016-10,7,262,0,0.0
2016-10,8,262,0,0.0
2016-10,9,262,1,0.003816793893129771
2016-10,10,262,0,0.0
2016-10,11,262,1,0.003816793893129771
2016-10,12,262,0,0.0
2016-10,13,262,1,0.003816793893129771
2016-10,14,262,0,0.0
2016-10,15,262,1,0.003816793893129771
2016-10,16,262,0,0.0
2016-10,17,262,1,0.003816793893129771
2016-10,18,262,0,0.0
2016-10,19,262,2,0.007633587786259542
2016-10,20,262,2,0.007633587786259542
2016-10,21,262,0,0.0
2016-10,22,262,0,0.0
2016-12,0,1,1,1.0
2016-12,1,1,1,1.0
2016-12,2,1,0,0.0
2016-12,3,1,0,0.0
2016-12,4,1,0,0.0
2016-12,5,1,0,0.0
2016-12,6,1,0,0.0
2016-12,7,1,0,0.0
2016-12,8,1,0,0.0
2016-12,9,1,0,0.0
2016-12,10,1,0,0.0
2016-12,11,1,0,0.0
2016-12,12,1,0,0.0
2016-12,13,1,0,0.0
2016-12,14,1,0,0.0
2016-12,15,1,0,0.0
2016-12,16,1,0,0.0
2016-12,17,1,0,0.0
2016-12,18,1,0,0.0
2016-12,19,1,0,0.0
2016-12,20,1,0,0.0
2017-01,0,717,717,1.0
2017-01,1,717,2,0.002789400278940028
2017-01,2,717,2,0.002789400278940028
2017-01,3,717,1,0.001394700139470014
2017-01,4,717,3,0.0041841004184100415
2017-01,5,717,1,0.001394700139470014
2017-01,6,717,3,0.0041841004184100415
2017-01,7,717,1,0.001394700139470014
2017-01,8,717,1,0.001394700139470014
2017-01,9,717,0,0.0
2017-01,10,717,3,0.0041841004184100415
2017-01,11,717,1,0.001394700139470014
2017-01,12,717,5,0.00697350069735007
2017-01,13,717,3,0.0041841004184100415
2017-01,14,717,1,0.001394700139470014
2017-01,15,717,1,0.001394700139470014
2017-01,16,717,2,0.002789400278940028
2017-01,17,717,3,0.0041841004184100415
2017-01,18,717,0,0.0
2017-01,19,717,1,0.001394700139470014
2017-02,0,1628,1628,1.0
2017-02,1,1628,3,0.0018427518427518428
2017-02,2,1628,5,0.003071253071253071
2017-02,3,1628,2,0.0012285012285012285
2017-02,4,1628,7,0.0042997542997543
2017-02,5,1628,2,0.0012285012285012285
2017-02,6,1628,4,0.002457002457002457
2017-02,7,1628,3,0.0018427518427518428
2017-02,8,1628,2,0.0012285012285012285
2017-02,9,1628,3,0.0018427518427518428
2017-02,10,1628,2,0.0012285012285012285
2017-02,11,1628,5,0.003071253071253071
2017-02,12,1628,2,0.0012285012285012285
2017-02,13,1628,3,0.0018427518427518428
2017-02,14,1628,2,0.0012285012285012285
2017-02,15,1628,1,0.0006142506142506142
2017-02,16,1628,1,0.0006142506142506142
2017-02,17,1628,3,0.0018427518427518428
2017-02,18,1628,0,0.0
2017-03,0,2503,2503,1.0
2017-03,1,2503,11,0.0043947263284059125
2017-03,2,2503,9,0.003595685177786656
2017-03,3,2503,10,0.003995205753096284
2017-03,4,2503,9,0.003595685177786656
2017-03,5,2503,4,0.0015980823012385138
2017-03,6,2503,4,0.0015980823012385138
2017-03,7,2503,8,0.0031961646024770275
2017-03,8,2503,8,0.0031961646024770275
2017-03,9,2503,2,0.0007990411506192569
2017-03,10,2503,9,0.003595685177786656
2017-03,11,2503,3,0.0011985617259288853
2017-03,12,2503,5,0.001997602876548142
2017-03,13,2503,3,0.0011985617259288853
2017-03,14,2503,4,0.0015980823012385138
2017-03,15,2503,6,0.0023971234518577705
2017-03,16,2503,2,0.0007990411506192569
2017-03,17,2503,3,0.0011985617259288853
2017-04,0,2256,2256,1.0
2017-04,1,2256,14,0.0062056737588652485
2017-04,2,2256,5,0.002216312056737589
2017-04,3,2256,4,0.0017730496453900709
2017-04,4,2256,6,0.0026595744680851063
2017-04,5,2256,6,0.0026595744680851063
2017-04,6,2256,8,0.0035460992907801418
2017-04,7,2256,7,0.0031028368794326243
2017-04,8,2256,7,0.0031028368794326243
2017-04,9,2256,4,0.0017730496453900709
2017-04,10,2256,6,0.0026595744680851063
2017-04,11,2256,2,0.0008865248226950354
2017-04,12,2256,1,0.0004432624113475177
2017-04,13,2256,1,0.0004432624113475177
2017-04,14,2256,2,0.0008865248226950354
2017-04,15,2256,2,0.0008865248226950354
2017-04,16,2256,3,0.0013297872340425532
2017-05,0,3451,3451,1.0
2017-05,1,3451,16,0.004636337293538105
2017-05,2,3451,16,0.004636337293538105
2017-05,3,3451,10,0.0028977108084613156
2017-05,4,3451,10,0.0028977108084613156
2017-05,5,3451,11,0.003187481889307447
2017-05,6,3451,14,0.004056795131845842
2017-05,7,3451,5,0.0014488554042306578
2017-05,8,3451,9,0.002607939727615184
2017-05,9,3451,9,0.002607939727615184
2017-05,10,3451,9,0.002607939727615184
2017-05,11,3451,12,0.0034772529701535787
2017-05,12,3451,8,0.0023181686467690526
2017-05,13,3451,1,0.0002897710808461316
2017-05,14,3451,6,0.0017386264850767893
2017-05,15,3451,7,0.002028397565922921
2017-06,0,3037,3037,1.0
2017-06,1,3037,15,0.004939084622983207
2017-06,2,3037,12,0.003951267698386566
2017-06,3,3037,13,0.004280540006585446
2017-06,4,3037,9,0.0029634507737899243
2017-06,5,3037,12,0.003951267698386566
2017-06,6,3037,11,0.0036219953901876854
2017-06,7,3037,7,0.0023049061573921633
2017-06,8,3037,4,0.0013170892327955218
2017-06,9,3037,6,0.001975633849193283
2017-06,10,3037,9,0.0029634507737899243
2017-06,11,3037,11,0.0036219953901876854
2017-06,12,3037,5,0.0016463615409944023
2017-06,13,3037,5,0.0016463615409944023
2017-06,14,3037,7,0.0023049061573921633
2017-07,0,3752,3752,1.0
2017-07,1,3752,20,0.005330490405117271
2017-07,2,3752,13,0.003464818763326226
2017-07,3,3752,9,0.002398720682302772
2017-07,4,3752,11,0.002931769722814499
2017-07,5,3752,8,0.0021321961620469083
2017-07,6,3752,12,0.0031982942430703624
2017-07,7,3752,4,0.0010660980810234541
2017-07,8,3752,7,0.0018656716417910447
2017-07,9,3752,10,0.0026652452025586353
2017-07,10,3752,8,0.0021321961620469083
2017-07,11,3752,11,0.002931769722814499
2017-07,12,3752,5,0.0013326226012793177
2017-07,13,3752,9,0.002398720682302772
2017-08,0,4057,4057,1.0
2017-08,1,4057,28,0.006901651466600937
2017-08,2,4057,14,0.0034508257333004683
2017-08,3,4057,11,0.0027113630761646536
2017-08,4,4057,14,0.0034508257333004683
2017-08,5,4057,21,0.0051762385999507025
2017-08,6,4057,12,0.0029578506285432584
2017-08,7,4057,11,0.0027113630761646536
2017-08,8,4057,6,0.0014789253142716292
2017-08,9,4057,6,0.0014789253142716292
2017-08,10,4057,10,0.002464875523786049
2017-08,11,4057,8,0.001971900419028839
2017-08,12,4057,5,0.0012324377618930244
2017-09,0,4004,4004,1.0
2017-09,1,4004,28,0.006993006993006993
2017-09,2,4004,22,0.005494505494505495
2017-09,3,4004,11,0.0027472527472527475
2017-09,4,4004,18,0.004495504495504496
2017-09,5,4004,9,0.002247752247752248
2017-09,6,4004,9,0.002247752247752248
2017-09,7,4004,10,0.0024975024975024975
2017-09,8,4004,11,0.0027472527472527475
2017-09,9,4004,7,0.0017482517482517483
2017-09,10,4004,10,0.0024975024975024975
2017-09,11,4004,3,0.0007492507492507493
2017-10,0,4328,4328,1.0
2017-10,1,4328,31,0.007162661737523105
2017-10,2,4328,11,0.0025415896487985213
2017-10,3,4328,4,0.0009242144177449168
2017-10,4,4328,10,0.0023105360443622922
2017-10,5,4328,9,0.0020794824399260627
2017-10,6,4328,9,0.0020794824399260627
2017-10,7,4328,16,0.0036968576709796672
2017-10,8,4328,12,0.0027726432532347504
2017-10,9,4328,8,0.0018484288354898336
2017-10,10,4328,9,0.0020794824399260627
2017-11,0,7060,7060,1.0
2017-11,1,7060,40,0.0056657223796034
2017-11,2,7060,26,0.0036827195467422098
2017-11,3,7060,12,0.0016997167138810198
2017-11,4,7060,12,0.0016997167138810198
2017-11,5,7060,13,0.0018413597733711049
2017-11,6,7060,8,0.0011331444759206798
2017-11,7,7060,13,0.0018413597733711049
2017-11,8,7060,9,0.0012747875354107649
2017-11,9,7060,4,0.0005665722379603399
2017-12,0,5338,5338,1.0
2017-12,1,5338,11,0.0020606968902210565
2017-12,2,5338,15,0.002810041213937804
2017-12,3,5338,18,0.0033720494567253652
2017-12,4,5338,14,0.0026227051330086175
2017-12,5,5338,11,0.0020606968902210565
2017-12,6,5338,9,0.0016860247283626826
2017-12,7,5338,1,0.00018733608092918696
2017-12,8,5338,10,0.0018733608092918695
2018-01,0,6842,6842,1.0
2018-01,1,6842,23,0.0033615901783104357
2018-01,2,6842,25,0.0036539023677287343
2018-01,3,6842,20,0.0029231218941829875
2018-01,4,6842,20,0.0029231218941829875
2018-01,5,6842,11,0.001607717041800643
2018-01,6,6842,12,0.0017538731365097924
2018-01,7,6842,16,0.00233849751534639
2018-02,0,6288,6288,1.0
2018-02,1,6288,22,0.003498727735368957
2018-02,2,6288,25,0.003975826972010178
2018-02,3,6288,19,0.0030216284987277355
2018-02,4,6288,16,0.002544529262086514
2018-02,5,6288,14,0.0022264631043256997
2018-02,6,6288,13,0.0020674300254452924
2018-03,0,6774,6774,1.0
2018-03,1,6774,27,0.003985828166519044
2018-03,2,6774,20,0.002952465308532625
2018-03,3,6774,20,0.002952465308532625
2018-03,4,6774,8,0.00118098612341305
2018-03,5,6774,8,0.00118098612341305
2018-04,0,6582,6582,1.0
2018-04,1,6582,39,0.005925250683682771
2018-04,2,6582,20,0.003038590094196293
2018-04,3,6582,16,0.002430872075357034
2018-04,4,6582,9,0.0013673655423883319
2018-05,0,6506,6506,1.0
2018-05,1,6506,34,0.00522594528127882
2018-05,2,6506,17,0.00261297264063941
2018-05,3,6506,12,0.0018444512757454657
2018-06,0,5878,5878,1.0
2018-06,1,5878,25,0.004253147329023477
2018-06,2,5878,16,0.0027220142905750254
2018-07,0,5949,5949,1.0
2018-07,1,5949,31,0.005210959825180703
2018-08,0,6144,6144,1.0
