"month","gmv_mom","gmv_yoy","order_count_mom","order_count_yoy","aov_mom","aov_yoy","new_users_mom","new_users_yoy","active_users_mom","active_users_yoy"
"2016-09",,,,,,,,,,
"2016-10",,,264.0,,,,261.0,,261.0,
"2016-11",,,,,,,,,,
"2016-12",,,,,,,,,,
"2017-01",6499.7987,,749.0,,7.6677,,716.0,,717.0,
"2017-02",1.1271,,1.204,,-0.0349,,1.2706,,1.2702,
"2017-03",0.5274,,0.5402,,-0.0084,,0.5375,,0.5387,
"2017-04",-0.0565,,-0.0954,,0.043,,-0.0987,,-0.0933,
"2017-05",0.4505,,0.5397,,-0.058,,0.5297,,0.5299,
"2017-06",-0.1355,,-0.1159,,-0.0222,,-0.12,,-0.1158,
"2017-07",0.1554,,0.2351,,-0.0645,,0.2354,,0.236,
"2017-08",0.1405,,0.0829,,0.0532,,0.0813,,0.0821,
"2017-09",0.0854,,-0.0103,4149.0,0.0966,,-0.0131,4003.0,-0.0075,4082.0
"2017-10",0.0713,15.1304,0.079,15.8981,-0.0072,-0.0454,0.0809,15.5191,0.0818,15.8588
"2017-11",0.5357,,0.6277,,-0.0565,,0.6312,,0.6262,
"2017-12",-0.269,42975.5122,-0.2437,5512.0,-0.0335,6.7955,-0.2439,5337.0,-0.2413,5449.0
"2018-01",0.2792,7.4566,0.2822,8.4253,-0.0024,-0.1028,0.2818,8.5425,0.2796,8.7131
"2018-02",-0.1039,2.5625,-0.0727,2.9655,-0.0337,-0.1016,-0.081,2.8624,-0.0823,2.9264
"2018-03",0.1595,1.7045,0.0683,1.7506,0.0853,-0.0167,0.0773,1.7064,0.0803,1.7568
"2018-04",0.0109,1.8979,-0.0293,1.9518,0.0414,-0.0183,-0.0283,1.9176,-0.0246,1.9657
"2018-05",-0.0036,0.9907,-0.0072,0.9033,0.0036,0.0459,-0.0115,0.8853,-0.0076,0.9238
"2018-06",-0.1034,1.0645,-0.0963,0.9455,-0.0079,0.0612,-0.0965,0.9355,-0.0944,0.9704
"2018-07",0.0156,0.8148,0.0098,0.5907,0.0057,0.1409,0.0121,0.5856,0.0064,0.6044
"2018-08",-0.0413,0.5254,0.0312,0.5147,-0.0703,0.0071,0.0328,0.5144,0.0344,0.5338
