month,gmv,order_count,average_order_value,new_users,active_users
2016-10,46566.71,265,175.72343396226415,262,262
2016-12,19.62,1,19.62,1,1
2017-01,127545.67,750,170.06089333333333,717,718
2017-02,271298.65,1653,164.12501512401695,1628,1630
2017-03,414369.39,2546,162.75309897879026,2503,2508
2017-04,390952.18,2303,169.7577854971776,2256,2274
2017-05,567066.73,3546,159.91729554427525,3451,3479
2017-06,490225.6,3135,156.37180223285486,3037,3076
2017-07,566403.93,3872,146.28200671487605,3752,3802
2017-08,646000.61,4193,154.066446458383,4057,4114
2017-09,701169.99,4150,168.95662409638555,4004,4083
2017-10,751140.27,4478,167.7401228226887,4328,4417
2017-11,1153528.05,7289,158.25600905474002,7060,7183
2017-12,843199.17,5513,152.94742789769637,5338,5450
2018-01,1078606.86,7069,152.58266515773096,6842,6974
2018-02,966510.88,6555,147.44635850495806,6288,6400
2018-03,1120678.0,7003,160.02827359702985,6774,6914
2018-04,1132933.95,6798,166.65695057369814,6582,6744
2018-05,1128836.69,6749,167.25984442139574,6506,6693
2018-06,1012090.68,6099,165.9437088047221,5878,6061
2018-07,1027903.86,6159,166.89460301997076,5949,6100
2018-08,985414.28,6351,155.15891670603054,6144,6310
