period_order,period,band_order,order_value_band,paid_order_count,gmv,average_order_value,paid_order_share,gmv_share,total_paid_orders,total_gmv
1,ALL_DATA,1,0-50,16451,606653.04,36.88,0.170517,0.039336,96477,15422461.77
1,ALL_DATA,2,50-100,29466,2159145.09,73.28,0.30542,0.14,96477,15422461.77
1,ALL_DATA,3,100-200,31018,4403742.5,141.97,0.321507,0.285541,96477,15422461.77
1,ALL_DATA,4,200-500,15466,4483233.0,289.88,0.160308,0.290695,96477,15422461.77
1,ALL_DATA,5,500+,4076,3769688.14,924.85,0.042248,0.244428,96477,15422461.77
2,2017-01_to_2017-07,1,0-50,3197,117370.59,36.71,0.179556,0.041505,17805,2827862.15
2,2017-01_to_2017-07,2,50-100,5460,397108.47,72.73,0.306655,0.140427,17805,2827862.15
2,2017-01_to_2017-07,3,100-200,5544,774748.24,139.75,0.311373,0.27397,17805,2827862.15
2,2017-01_to_2017-07,4,200-500,2901,846165.03,291.68,0.162932,0.299224,17805,2827862.15
2,2017-01_to_2017-07,5,500+,703,692469.82,985.02,0.039483,0.244874,17805,2827862.15
3,2018-01_to_2018-07,1,0-50,7968,294155.09,36.92,0.171606,0.039391,46432,7467560.92
3,2018-01_to_2018-07,2,50-100,13714,1007962.83,73.5,0.295357,0.134979,46432,7467560.92
3,2018-01_to_2018-07,3,100-200,15261,2178372.23,142.74,0.328674,0.291711,46432,7467560.92
3,2018-01_to_2018-07,4,200-500,7493,2170393.39,289.66,0.161376,0.290643,46432,7467560.92
3,2018-01_to_2018-07,5,500+,1996,1816677.38,910.16,0.042988,0.243276,46432,7467560.92
