period_order,period,payment_type,split_gmv,attributed_order_gmv,primary_order_count,average_order_value,gmv_share,order_share,mixed_payment_orders,mixed_payment_order_share,total_gmv,total_paid_orders
1,ALL_DATA,credit_card,12101094.88,12095049.25,72785,166.18,0.784641,0.754429,663,0.009109,15422461.77,96477
1,ALL_DATA,boleto,2769932.58,2769932.58,19191,144.33,0.179604,0.198918,0,0.0,15422461.77,96477
1,ALL_DATA,voucher,343013.19,349108.82,3017,115.71,0.022241,0.031272,1519,0.50348,15422461.77,96477
1,ALL_DATA,debit_card,208421.12,208371.12,1484,140.41,0.013514,0.015382,0,0.0,15422461.77,96477
2,2017-01_to_2017-07,credit_card,2171497.72,2168596.97,13137,165.08,0.767894,0.737826,145,0.011038,2827862.15,17805
2,2017-01_to_2017-07,boleto,565679.35,565679.35,3838,147.39,0.200038,0.215557,0,0.0,2827862.15,17805
2,2017-01_to_2017-07,voucher,75040.07,77940.82,678,114.96,0.026536,0.038079,351,0.517699,2827862.15,17805
2,2017-01_to_2017-07,debit_card,15645.01,15645.01,152,102.93,0.005532,0.008537,0,0.0,2827862.15,17805
3,2018-01_to_2018-07,credit_card,5894910.35,5892147.13,35387,166.51,0.789402,0.762125,282,0.007969,7467560.92,46432
3,2018-01_to_2018-07,boleto,1291465.69,1291465.69,8879,145.45,0.172943,0.191226,0,0.0,7467560.92,46432
3,2018-01_to_2018-07,voucher,160354.0,163167.22,1360,119.98,0.021473,0.02929,668,0.491176,7467560.92,46432
3,2018-01_to_2018-07,debit_card,120830.88,120780.88,806,149.85,0.016181,0.017359,0,0.0,7467560.92,46432
