period_order,period,customer_state,paid_order_count,customer_count,gmv,average_order_value,paid_order_share,gmv_share,gmv_rank,total_paid_orders,total_gmv,top_5_gmv_share,top_10_gmv_share,top_5_paid_order_share,top_10_paid_order_share,state_gmv_hhi,state_paid_order_hhi,paid_order_count_2017,paid_order_count_2018,customer_count_2017,customer_count_2018,gmv_2017,gmv_2018,average_order_value_2017,average_order_value_2018,paid_order_share_2017,paid_order_share_2018,gmv_share_2017,gmv_share_2018,gmv_rank_2017,gmv_rank_2018,gmv_growth_rate,paid_order_growth_rate,customer_growth_rate,average_order_value_growth_rate,gmv_share_change,paid_order_share_change,platform_gmv_growth_rate,growth_gap_vs_platform,equal_state_share_benchmark,state_structure_segment
1,ALL_DATA,SP,40500,39155,5770266.19,142.48,0.419789,0.374147,1,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,6913,20171,6732,19711,1006330.77,2884520.13,145.57,143.0,0.388262,0.43442,0.355863,0.386273,1,1,1.866374,1.917836,1.927956,-0.017655,0.03041,0.046158,1.640709,0.225665,0.037037,HIGH_SCALE_HIGH_GROWTH
1,ALL_DATA,RJ,12350,11917,2055690.45,166.45,0.12801,0.133292,2,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,2428,5619,2365,5477,405375.56,922313.47,166.96,164.14,0.136366,0.121016,0.143351,0.123509,2,2,1.275207,1.31425,1.315856,-0.01689,-0.019842,-0.01535,1.640709,-0.365502,0.037037,HIGH_SCALE_LOW_GROWTH
1,ALL_DATA,MG,11354,11001,1819277.61,160.23,0.117686,0.117963,3,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,2155,5379,2104,5265,320624.77,875607.63,148.78,162.78,0.121033,0.115847,0.113381,0.117255,3,3,1.730942,1.496056,1.502376,0.094099,0.003874,-0.005186,1.640709,0.090233,0.037037,HIGH_SCALE_HIGH_GROWTH
1,ALL_DATA,RS,5345,5168,861802.4,161.24,0.055402,0.05588,4,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,1091,2444,1060,2393,168861.08,395849.09,154.78,161.97,0.061275,0.052636,0.059713,0.053009,4,5,1.344229,1.240147,1.257547,0.046453,-0.006704,-0.008639,1.640709,-0.29648,0.037037,HIGH_SCALE_LOW_GROWTH
1,ALL_DATA,PR,4923,4769,781919.55,158.83,0.051028,0.0507,5,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,973,2384,937,2340,151511.27,396413.27,155.72,166.28,0.054648,0.051344,0.053578,0.053085,5,4,1.616395,1.450154,1.497332,0.067814,-0.000493,-0.003304,1.640709,-0.024314,0.037037,HIGH_SCALE_LOW_GROWTH
1,ALL_DATA,SC,3546,3449,595208.4,167.85,0.036755,0.038594,6,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,694,1683,683,1657,108104.78,294312.86,155.77,174.87,0.038978,0.036247,0.038228,0.039412,7,7,1.722478,1.425072,1.426061,0.122617,0.001184,-0.002731,1.640709,0.081769,0.037037,HIGH_SCALE_HIGH_GROWTH
1,ALL_DATA,BA,3256,3158,591270.6,181.59,0.033749,0.038338,7,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,619,1567,605,1528,116080.33,295425.31,187.53,188.53,0.034766,0.033748,0.041049,0.039561,6,6,1.545007,1.531502,1.52562,0.005332,-0.001488,-0.001018,1.640709,-0.095702,0.037037,HIGH_SCALE_LOW_GROWTH
1,ALL_DATA,DF,2080,2019,346146.17,166.42,0.02156,0.022444,8,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,326,1050,318,1022,60204.61,169865.71,184.68,161.78,0.018309,0.022614,0.02129,0.022747,9,8,1.821473,2.220859,2.213836,-0.123998,0.001457,0.004305,1.640709,0.180764,0.037037,LOW_SCALE_HIGH_GROWTH
1,ALL_DATA,GO,1957,1895,334294.22,170.82,0.020285,0.021676,9,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,360,916,354,896,63567.07,155039.43,176.58,169.26,0.020219,0.019728,0.022479,0.020762,8,10,1.43899,1.544444,1.531073,-0.041454,-0.001717,-0.000491,1.640709,-0.201719,0.037037,LOW_SCALE_LOW_GROWTH
1,ALL_DATA,ES,1995,1928,317682.65,159.24,0.020679,0.020599,10,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,382,944,373,926,53800.76,159540.28,140.84,169.0,0.021455,0.020331,0.019025,0.021364,10,9,1.965391,1.471204,1.482574,0.199943,0.002339,-0.001124,1.640709,0.324682,0.037037,LOW_SCALE_HIGH_GROWTH
1,ALL_DATA,PE,1593,1551,309074.59,194.02,0.016512,0.020041,11,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,275,769,269,758,47674.95,150164.44,173.36,195.27,0.015445,0.016562,0.016859,0.020109,12,11,2.149756,1.796364,1.817844,0.126384,0.00325,0.001117,1.640709,0.509047,0.037037,LOW_SCALE_HIGH_GROWTH
1,ALL_DATA,CE,1279,1258,266463.97,208.34,0.013257,0.017278,12,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,248,578,244,572,51025.06,120320.12,205.75,208.17,0.013929,0.012448,0.018044,0.016112,11,12,1.358059,1.330645,1.344262,0.011762,-0.001932,-0.001481,1.640709,-0.28265,0.037037,LOW_SCALE_LOW_GROWTH
1,ALL_DATA,PA,946,922,212027.55,224.13,0.009805,0.013748,13,96477,15422461.77,0.731982,0.873633,0.771915,0.904943,1831.76,2167.88,212,410,205,404,46190.6,93260.38,217.88,227.46,0.011907,0.00883,0.016334,0.012489,13,13,1.019034,0.933962,0.970732,0.043969,-0.003845,-0.003077,1.640709,-0.621675,0.037037,LOW_SCALE_LOW_GROWTH
