first_purchase_month,cohort_users,churned_users,non_churned_users,churn_rate_pct,users_with_full_90d_opportunity,user_share_pct
2016-09,1,1,0,100.0,1,0.0
2016-10,262,258,4,98.47,262,0.3
2016-12,1,1,0,100.0,1,0.0
2017-01,717,712,5,99.3,717,0.82
2017-02,1628,1623,5,99.69,1628,1.87
2017-03,2503,2491,12,99.52,2503,2.87
2017-04,2256,2251,5,99.78,2256,2.59
2017-05,3451,3436,15,99.57,3451,3.96
2017-06,3037,3017,20,99.34,3037,3.48
2017-07,3752,3729,23,99.39,3752,4.3
2017-08,4057,4034,23,99.43,4057,4.65
2017-09,4004,3977,27,99.33,4004,4.59
2017-10,4328,4294,34,99.21,4328,4.96
2017-11,7060,7030,30,99.58,7060,8.1
2017-12,5338,5317,21,99.61,5338,6.12
2018-01,6842,6801,41,99.4,6842,7.85
2018-02,6288,6239,49,99.22,6288,7.21
2018-03,6774,6729,45,99.34,6774,7.77
2018-04,6582,6511,71,98.92,6582,7.55
2018-05,6506,235,6271,3.61,244,7.46
2018-06,5878,0,5878,0.0,0,6.74
2018-07,5949,0,5949,0.0,0,6.82
