customer_state,user_count,churned_users,non_churned_users,churn_rate_pct,user_share_pct,churn_rate_vs_overall_pct_point
SP,36089,27704,8385,76.77,41.38,-1.99
RJ,11220,9058,2162,80.73,12.86,1.98
MG,10314,8268,2046,80.16,11.83,1.41
RS,4887,3956,931,80.95,5.6,2.19
PR,4452,3546,906,79.65,5.1,0.89
SC,3256,2641,615,81.11,3.73,2.36
BA,2999,2343,656,78.13,3.44,-0.63
DF,1875,1437,438,76.64,2.15,-2.12
ES,1828,1458,370,79.76,2.1,1.0
GO,1780,1441,339,80.96,2.04,2.2
PE,1466,1146,320,78.17,1.68,-0.58
CE,1204,979,225,81.31,1.38,2.56
PA,880,729,151,82.84,1.01,4.09
MT,816,648,168,79.41,0.94,0.66
MA,671,561,110,83.61,0.77,4.85
MS,646,506,140,78.33,0.74,-0.43
PB,474,370,104,78.06,0.54,-0.7
PI,445,356,89,80.0,0.51,1.24
RN,444,358,86,80.63,0.51,1.87
AL,372,309,63,83.06,0.43,4.31
SE,306,247,59,80.72,0.35,1.96
TO,254,198,56,77.95,0.29,-0.8
RO,223,179,44,80.27,0.26,1.51
AM,136,104,32,76.47,0.16,-2.29
AC,73,64,9,87.67,0.08,8.92
AP,64,50,14,78.13,0.07,-0.63
RR,40,30,10,75.0,0.05,-3.76
