customer_city,customer_state,unique_user_count,user_share,valid_order_count,paid_order_count,gmv,gmv_share,spend_per_user,average_order_value,user_rank,gmv_rank
sao paulo,SP,14517,0.15549819,15048,15048,2109190.02,0.13676092,145.291039,140.164143,1,1
rio de janeiro,RJ,6354,0.06806058,6598,6598,1111157.35,0.07204799,174.875252,168.408207,2,2
belo horizonte,MG,2603,0.02788192,2696,2696,405862.54,0.02631633,155.921068,150.542485,3,3
brasilia,DF,2009,0.02151931,2067,2067,344271.8,0.02232275,171.364759,166.556265,4,4
curitiba,PR,1433,0.01534951,1489,1489,238636.06,0.01547328,166.529002,160.265991,5,5
campinas,SP,1361,0.01457829,1404,1404,208760.94,0.01353616,153.387906,148.690128,6,7
porto alegre,RS,1292,0.0138392,1342,1342,214861.83,0.01393175,166.301726,160.105686,7,6
salvador,BA,1152,0.0123396,1186,1186,207567.42,0.01345877,180.180052,175.014688,8,8
guarulhos,SP,1109,0.011879,1143,1143,157647.38,0.01022193,142.152732,137.924217,9,9
sao bernardo do campo,SP,881,0.00943679,911,911,116785.21,0.00757241,132.55983,128.194523,10,11
niteroi,RJ,787,0.00842991,828,828,135395.81,0.00877913,172.040419,163.52151,11,10
santo andre,SP,750,0.00803359,777,777,101772.62,0.00659899,135.696827,130.981493,12,16
osasco,SP,696,0.00745517,722,722,92317.31,0.0059859,132.639813,127.86331,13,19
santos,SP,678,0.00726237,698,698,110813.03,0.00718517,163.441047,158.757923,14,14
sao jose dos campos,SP,642,0.00687675,666,666,86438.36,0.00560471,134.63919,129.787327,15,21
goiania,GO,640,0.00685533,658,658,112950.14,0.00732374,176.484594,171.656748,16,13
fortaleza,CE,609,0.00652328,619,619,113035.17,0.00732926,185.607833,182.609321,17,12
sorocaba,SP,587,0.00628762,608,608,84748.5,0.00549513,144.375639,139.38898,18,22
recife,PE,569,0.00609482,593,593,104575.01,0.0067807,183.787364,176.349089,19,15
florianopolis,SC,534,0.00571992,556,556,97402.64,0.00631564,182.401948,175.184604,20,17
jundiai,SP,532,0.00569849,551,551,90424.87,0.00586319,169.97156,164.110472,21,20
ribeirao preto,SP,478,0.00512008,499,499,74402.25,0.00482428,155.653243,149.102705,22,24
belem,PA,418,0.00447739,428,428,92919.26,0.00602493,222.29488,217.101075,23,18
nova iguacu,RJ,415,0.00444525,424,424,68723.36,0.00445606,165.598458,162.083396,24,25
juiz de fora,MG,412,0.00441312,423,423,74856.62,0.00485374,181.690825,176.966005,25,23
contagem,MG,406,0.00434885,415,415,57240.61,0.00371151,140.986724,137.929181,26,34
barueri,SP,406,0.00434885,420,420,57446.71,0.00372487,141.49436,136.777881,26,32
sao goncalo,RJ,377,0.00403822,385,385,59387.42,0.00385071,157.526313,154.253039,28,30
mogi das cruzes,SP,362,0.00387755,376,376,57242.81,0.00371165,158.129309,152.241516,29,33
vitoria,ES,360,0.00385612,373,373,61443.55,0.00398403,170.676528,164.728016,30,28
uberlandia,MG,359,0.00384541,366,366,55566.71,0.00360297,154.781922,151.821612,31,36
piracicaba,SP,349,0.0037383,356,356,55621.16,0.0036065,159.372951,156.239213,32,35
sao luis,MA,326,0.00349193,337,337,62556.1,0.00405617,191.889877,185.626409,33,27
sao jose do rio preto,SP,324,0.00347051,333,333,54867.06,0.00355761,169.342778,164.765946,34,37
vila velha,ES,317,0.00339553,326,326,54654.53,0.00354383,172.411767,167.651933,35,38
carapicuiba,SP,309,0.00330984,316,316,36704.65,0.00237995,118.785275,116.153956,36,60
campo grande,MS,308,0.00329913,312,312,64793.66,0.00420125,210.369026,207.671987,37,26
maua,SP,307,0.00328842,316,316,47899.89,0.00310585,156.0257,151.58193,38,41
londrina,PR,290,0.00310632,299,299,52472.43,0.00340234,180.939414,175.493077,39,39
praia grande,SP,278,0.00297778,298,298,43509.38,0.00282117,156.508561,146.004631,40,44
taboao da serra,SP,273,0.00292423,285,285,39429.8,0.00255665,144.431502,138.350175,41,52
serra,ES,272,0.00291352,278,278,41555.07,0.00269445,152.775993,149.478669,42,49
diadema,SP,265,0.00283854,278,278,33467.87,0.00217007,126.293849,120.388022,43,66
indaiatuba,SP,263,0.00281711,274,274,41313.44,0.00267878,157.085323,150.778978,44,50
sao caetano do sul,SP,262,0.0028064,273,273,36535.1,0.00236895,139.446947,133.828205,45,62
teresina,PI,261,0.00279569,271,271,59176.68,0.00383705,226.730575,218.364133,46,31
bauru,SP,257,0.00275284,263,263,44292.81,0.00287197,172.345564,168.413726,47,43
taubate,SP,257,0.00275284,260,260,33717.73,0.00218627,131.197393,129.683577,47,65
joinville,SC,254,0.00272071,257,257,40508.69,0.0026266,159.483031,157.621362,49,51
maringa,PR,249,0.00266715,258,258,43262.71,0.00280518,173.745823,167.684922,50,45
