cohort_month,active_month,cohort_index,initial_users,active_users,retention_rate
Oct-16,Oct-16,0,262,262,1
Oct-16,Apr-17,6,262,1,0.0038
Oct-16,Jul-17,9,262,1,0.0038
Oct-16,Sep-17,11,262,1,0.0038
Oct-16,Nov-17,13,262,1,0.0038
Oct-16,Jan-18,15,262,1,0.0038
Oct-16,Mar-18,17,262,1,0.0038
Oct-16,May-18,19,262,2,0.0076
Oct-16,Jun-18,20,262,2,0.0076
Dec-16,Dec-16,0,1,1,1
Dec-16,Jan-17,1,1,1,1
Jan-17,Jan-17,0,717,717,1
Jan-17,Feb-17,1,717,2,0.0028
Jan-17,Mar-17,2,717,2,0.0028
Jan-17,Apr-17,3,717,1,0.0014
Jan-17,May-17,4,717,3,0.0042
Jan-17,Jun-17,5,717,1,0.0014
Jan-17,Jul-17,6,717,3,0.0042
Jan-17,Aug-17,7,717,1,0.0014
Jan-17,Sep-17,8,717,1,0.0014
Jan-17,Nov-17,10,717,3,0.0042
Jan-17,Dec-17,11,717,1,0.0014
Jan-17,Jan-18,12,717,5,0.007
Jan-17,Feb-18,13,717,3,0.0042
Jan-17,Mar-18,14,717,1,0.0014
Jan-17,Apr-18,15,717,1,0.0014
Jan-17,May-18,16,717,2,0.0028
Jan-17,Jun-18,17,717,3,0.0042
Jan-17,Aug-18,19,717,1,0.0014
Feb-17,Feb-17,0,1628,1628,1
Feb-17,Mar-17,1,1628,3,0.0018
Feb-17,Apr-17,2,1628,5,0.0031
Feb-17,May-17,3,1628,2,0.0012
Feb-17,Jun-17,4,1628,7,0.0043
Feb-17,Jul-17,5,1628,2,0.0012
Feb-17,Aug-17,6,1628,4,0.0025
Feb-17,Sep-17,7,1628,3,0.0018
Feb-17,Oct-17,8,1628,2,0.0012
Feb-17,Nov-17,9,1628,3,0.0018
Feb-17,Dec-17,10,1628,2,0.0012
Feb-17,Jan-18,11,1628,5,0.0031
Feb-17,Feb-18,12,1628,2,0.0012
Feb-17,Mar-18,13,1628,3,0.0018
Feb-17,Apr-18,14,1628,2,0.0012
Feb-17,May-18,15,1628,1,0.0006
Feb-17,Jun-18,16,1628,1,0.0006
Feb-17,Jul-18,17,1628,3,0.0018
Mar-17,Mar-17,0,2503,2503,1
Mar-17,Apr-17,1,2503,11,0.0044
Mar-17,May-17,2,2503,9,0.0036
Mar-17,Jun-17,3,2503,10,0.004
Mar-17,Jul-17,4,2503,9,0.0036
Mar-17,Aug-17,5,2503,4,0.0016
Mar-17,Sep-17,6,2503,4,0.0016
Mar-17,Oct-17,7,2503,8,0.0032
Mar-17,Nov-17,8,2503,8,0.0032
Mar-17,Dec-17,9,2503,2,0.0008
Mar-17,Jan-18,10,2503,9,0.0036
Mar-17,Feb-18,11,2503,3,0.0012
Mar-17,Mar-18,12,2503,5,0.002
Mar-17,Apr-18,13,2503,3,0.0012
Mar-17,May-18,14,2503,4,0.0016
Mar-17,Jun-18,15,2503,6,0.0024
Mar-17,Jul-18,16,2503,2,0.0008
Mar-17,Aug-18,17,2503,3,0.0012
Apr-17,Apr-17,0,2256,2256,1
Apr-17,May-17,1,2256,14,0.0062
Apr-17,Jun-17,2,2256,5,0.0022
Apr-17,Jul-17,3,2256,4,0.0018
Apr-17,Aug-17,4,2256,6,0.0027
Apr-17,Sep-17,5,2256,6,0.0027
Apr-17,Oct-17,6,2256,8,0.0035
Apr-17,Nov-17,7,2256,7,0.0031
Apr-17,Dec-17,8,2256,7,0.0031
Apr-17,Jan-18,9,2256,4,0.0018
Apr-17,Feb-18,10,2256,6,0.0027
Apr-17,Mar-18,11,2256,2,0.0009
Apr-17,Apr-18,12,2256,1,0.0004
Apr-17,May-18,13,2256,1,0.0004
Apr-17,Jun-18,14,2256,2,0.0009
Apr-17,Jul-18,15,2256,2,0.0009
Apr-17,Aug-18,16,2256,3,0.0013
May-17,May-17,0,3451,3451,1
May-17,Jun-17,1,3451,16,0.0046
May-17,Jul-17,2,3451,16,0.0046
May-17,Aug-17,3,3451,10,0.0029
May-17,Sep-17,4,3451,10,0.0029
May-17,Oct-17,5,3451,11,0.0032
May-17,Nov-17,6,3451,14,0.0041
May-17,Dec-17,7,3451,5,0.0014
May-17,Jan-18,8,3451,9,0.0026
May-17,Feb-18,9,3451,9,0.0026
May-17,Mar-18,10,3451,9,0.0026
May-17,Apr-18,11,3451,12,0.0035
May-17,May-18,12,3451,8,0.0023
May-17,Jun-18,13,3451,1,0.0003
May-17,Jul-18,14,3451,6,0.0017
May-17,Aug-18,15,3451,7,0.002
Jun-17,Jun-17,0,3037,3037,1
Jun-17,Jul-17,1,3037,15,0.0049
Jun-17,Aug-17,2,3037,12,0.004
Jun-17,Sep-17,3,3037,13,0.0043
Jun-17,Oct-17,4,3037,9,0.003
Jun-17,Nov-17,5,3037,12,0.004
Jun-17,Dec-17,6,3037,11,0.0036
Jun-17,Jan-18,7,3037,7,0.0023
Jun-17,Feb-18,8,3037,4,0.0013
Jun-17,Mar-18,9,3037,6,0.002
Jun-17,Apr-18,10,3037,9,0.003
Jun-17,May-18,11,3037,11,0.0036
Jun-17,Jun-18,12,3037,5,0.0016
Jun-17,Jul-18,13,3037,5,0.0016
Jun-17,Aug-18,14,3037,7,0.0023
Jul-17,Jul-17,0,3752,3752,1
Jul-17,Aug-17,1,3752,20,0.0053
Jul-17,Sep-17,2,3752,13,0.0035
Jul-17,Oct-17,3,3752,9,0.0024
Jul-17,Nov-17,4,3752,11,0.0029
Jul-17,Dec-17,5,3752,8,0.0021
Jul-17,Jan-18,6,3752,12,0.0032
Jul-17,Feb-18,7,3752,4,0.0011
Jul-17,Mar-18,8,3752,7,0.0019
Jul-17,Apr-18,9,3752,10,0.0027
Jul-17,May-18,10,3752,8,0.0021
Jul-17,Jun-18,11,3752,11,0.0029
Jul-17,Jul-18,12,3752,5,0.0013
Jul-17,Aug-18,13,3752,9,0.0024
Aug-17,Aug-17,0,4057,4057,1
Aug-17,Sep-17,1,4057,28,0.0069
Aug-17,Oct-17,2,4057,14,0.0035
Aug-17,Nov-17,3,4057,11,0.0027
Aug-17,Dec-17,4,4057,14,0.0035
Aug-17,Jan-18,5,4057,21,0.0052
Aug-17,Feb-18,6,4057,12,0.003
Aug-17,Mar-18,7,4057,11,0.0027
Aug-17,Apr-18,8,4057,6,0.0015
Aug-17,May-18,9,4057,6,0.0015
Aug-17,Jun-18,10,4057,10,0.0025
Aug-17,Jul-18,11,4057,8,0.002
Aug-17,Aug-18,12,4057,5,0.0012
Sep-17,Sep-17,0,4004,4004,1
Sep-17,Oct-17,1,4004,28,0.007
Sep-17,Nov-17,2,4004,22,0.0055
Sep-17,Dec-17,3,4004,11,0.0027
Sep-17,Jan-18,4,4004,18,0.0045
Sep-17,Feb-18,5,4004,9,0.0022
Sep-17,Mar-18,6,4004,9,0.0022
Sep-17,Apr-18,7,4004,10,0.0025
Sep-17,May-18,8,4004,11,0.0027
Sep-17,Jun-18,9,4004,7,0.0017
Sep-17,Jul-18,10,4004,10,0.0025
