profile_state,profile_city,all_users,all_user_gmv,high_value_users,high_value_gmv,high_value_churn_users,all_user_share,high_value_user_share,high_value_penetration,all_gmv_share,high_value_gmv_share,user_share_gap
SP,praia grande,256,38738.87,1,1172.66,1,0.0029353085513793655,0.25,0.00390625,0.002683295876586467,0.3115478828261574,0.24706469144862064
PE,recife,534,99162.6,1,1122.72,0,0.006122870181392895,0.25,0.0018726591760299626,0.006868620475806165,0.29828001211483585,0.2438771298186071
SP,santos,611,100635.63,1,758.83,0,0.0070057559566124705,0.25,0.0016366612111292963,0.0069706517256874385,0.2016030903458573,0.24299424404338754
SP,sao paulo,13288,1932108.23,1,709.77,0,0.1523608594950352,0.25,7.525586995785671e-05,0.13382987285581063,0.18856901471314935,0.0976391405049648
RJ,rio de janeiro,5922,1040699.9,0,0.0,0,0.06790194234870549,0.0,0.0,0.07208536930565988,0.0,-0.06790194234870549
MG,belo horizonte,2413,375101.87,0,0.0,0,0.027667576306556287,0.0,0.0,0.025981896247125248,0.0,-0.027667576306556287
DF,brasilia,1868,320850.09,0,0.0,0,0.02141857958584631,0.0,0.0,0.02222407941944091,0.0,-0.02141857958584631
PR,curitiba,1331,223557.99,0,0.0,0,0.015261311257366936,0.0,0.0,0.015485021446029751,0.0,-0.015261311257366936
SP,campinas,1262,192060.29,0,0.0,0,0.014470153874377967,0.0,0.0,0.013303294190382968,0.0,-0.014470153874377967
RS,porto alegre,1213,195548.91,0,0.0,0,0.01390831747196551,0.0,0.0,0.013544937781457695,0.0,-0.01390831747196551
BA,salvador,1093,199901.54,0,0.0,0,0.012532391588506433,0.0,0.0,0.013846428096774239,0.0,-0.012532391588506433
SP,guarulhos,1016,145172.56,0,0.0,0,0.011649505813286857,0.0,0.0,0.010055557419240711,0.0,-0.011649505813286857
SP,sao bernardo do campo,811,107446.79,0,0.0,0,0.0092989657623776,0.0,0.0,0.00744243517065552,0.0,-0.0092989657623776
RJ,niteroi,736,129491.61,0,0.0,0,0.008439012085215676,0.0,0.0,0.008969396969130563,0.0,-0.008439012085215676
SP,santo andre,695,93123.94,0,0.0,0,0.007968904075033825,0.0,0.0,0.006450345201434258,0.0,-0.007968904075033825
SP,osasco,634,85074.27,0,0.0,0,0.00726947508427546,0.0,0.0,0.005892774825249259,0.0,-0.00726947508427546
GO,goiania,598,106516.35,0,0.0,0,0.006856697319237737,0.0,0.0,0.007377987090073637,0.0,-0.006856697319237737
SP,sao jose dos campos,594,79373.11,0,0.0,0,0.006810833123122435,0.0,0.0,0.005497876906963059,0.0,-0.006810833123122435
CE,fortaleza,584,108224.78,0,0.0,0,0.006696172632834178,0.0,0.0,0.007496323612910689,0.0,-0.006696172632834178
SP,sorocaba,539,78887.62,0,0.0,0,0.006180200426537024,0.0,0.0,0.005464248839982169,0.0,-0.006180200426537024
SC,florianopolis,504,90349.45,0,0.0,0,0.005778888710528126,0.0,0.0,0.006258166710512081,0.0,-0.005778888710528126
SP,jundiai,485,82543.51,0,0.0,0,0.005561033778980439,0.0,0.0,0.0057174785950641765,0.0,-0.005561033778980439
SP,ribeirao preto,446,69157.75,0,0.0,0,0.005113857866856239,0.0,0.0,0.004790297326922487,0.0,-0.005113857866856239
PA,belem,396,87169.69,0,0.0,0,0.004540555415414957,0.0,0.0,0.006037916690402187,0.0,-0.004540555415414957
RJ,nova iguacu,394,66052.2,0,0.0,0,0.004517623317357305,0.0,0.0,0.004575187554501838,0.0,-0.004517623317357305
MG,juiz de fora,384,68682.41,0,0.0,0,0.0044029628270690485,0.0,0.0,0.004757372312280175,0.0,-0.0044029628270690485
MG,contagem,378,53533.79,0,0.0,0,0.004334166532896095,0.0,0.0,0.0037080843598444103,0.0,-0.004334166532896095
SP,barueri,373,54185.02,0,0.0,0,0.004276836287751966,0.0,0.0,0.0037531926134849888,0.0,-0.004276836287751966
RJ,sao goncalo,360,56262.33,0,0.0,0,0.004127777650377233,0.0,0.0,0.003897080067026918,0.0,-0.004127777650377233
ES,vitoria,342,59124.69,0,0.0,0,0.003921388767858371,0.0,0.0,0.004095344982480209,0.0,-0.003921388767858371
MG,uberlandia,338,50611.26,0,0.0,0,0.0038755245717430687,0.0,0.0,0.0035056516947150392,0.0,-0.0038755245717430687
SP,mogi das cruzes,332,53872.27,0,0.0,0,0.003806728277570115,0.0,0.0,0.0037315295968455664,0.0,-0.003806728277570115
SP,piracicaba,322,50207.28,0,0.0,0,0.0036920677872818585,0.0,0.0,0.003477669518977249,0.0,-0.0036920677872818585
MA,sao luis,313,60919.75,0,0.0,0,0.0035888733460224275,0.0,0.0,0.004219682039710461,0.0,-0.0035888733460224275
ES,vila velha,304,52938.55,0,0.0,0,0.0034856789047629966,0.0,0.0,0.0036668543229956504,0.0,-0.0034856789047629966
SP,sao jose do rio preto,302,51007.71,0,0.0,0,0.0034627468067053454,0.0,0.0,0.0035331122956637167,0.0,-0.0034627468067053454
SP,carapicuiba,289,33282.23,0,0.0,0,0.003313688169330612,0.0,0.0,0.002305334939367163,0.0,-0.003313688169330612
MS,campo grande,286,60538.89,0,0.0,0,0.003279290022244135,0.0,0.0,0.004193301299447343,0.0,-0.003279290022244135
SP,maua,277,44327.9,0,0.0,0,0.0031760955809847042,0.0,0.0,0.003070426971352991,0.0,-0.0031760955809847042
PR,londrina,272,49953.6,0,0.0,0,0.003118765335840576,0.0,0.0,0.0034600980591496275,0.0,-0.003118765335840576
ES,serra,256,38235.5,0,0.0,0,0.0029353085513793655,0.0,0.0,0.002648429329229837,0.0,-0.0029353085513793655
PI,teresina,251,56944.08,0,0.0,0,0.0028779783062352375,0.0,0.0,0.003944302326320048,0.0,-0.0028779783062352375
SP,taboao da serra,249,34848.46,0,0.0,0,0.0028550462081775863,0.0,0.0,0.002413821802840104,0.0,-0.0028550462081775863
SC,joinville,245,39091.68,0,0.0,0,0.0028091820120622834,0.0,0.0,0.002707733698810462,0.0,-0.0028091820120622834
SP,sao caetano do sul,244,34363.09,0,0.0,0,0.0027977159630334578,0.0,0.0,0.002380202047808045,0.0,-0.0027977159630334578
SP,diadema,240,30814.09,0,0.0,0,0.0027518517669181553,0.0,0.0,0.002134376161146783,0.0,-0.0027518517669181553
SP,taubate,240,31930.61,0,0.0,0,0.0027518517669181553,0.0,0.0,0.0022117133037151213,0.0,-0.0027518517669181553
SP,bauru,238,42099.58,0,0.0,0,0.002728919668860504,0.0,0.0,0.0029160796228703133,0.0,-0.002728919668860504
PR,maringa,237,41080.17,0,0.0,0,0.0027174536198316785,0.0,0.0,0.0028454689248930357,0.0,-0.0027174536198316785
RJ,duque de caxias,237,37653.77,0,0.0,0,0.0027174536198316785,0.0,0.0,0.0026081350792869075,0.0,-0.0027174536198316785
SP,indaiatuba,237,37129.83,0,0.0,0,0.0027174536198316785,0.0,0.0,0.002571843725368254,0.0,-0.0027174536198316785
AL,maceio,228,50943.27,0,0.0,0,0.0026142591785722476,0.0,0.0,0.003528648779141752,0.0,-0.0026142591785722476
PB,joao pessoa,228,60024.52,0,0.0,0,0.0026142591785722476,0.0,0.0,0.0041576728234479195,0.0,-0.0026142591785722476
MT,cuiaba,225,44126.76,0,0.0,0,0.0025798610314857707,0.0,0.0,0.003056494759788312,0.0,-0.0025798610314857707
RJ,campos dos goytacazes,221,36837.77,0,0.0,0,0.002533996835370468,0.0,0.0,0.0025516138272396855,0.0,-0.002533996835370468
SP,cotia,218,31381.97,0,0.0,0,0.002499598688283991,0.0,0.0,0.0021737110736621953,0.0,-0.002499598688283991
RJ,volta redonda,212,35541.409999999996,0,0.0,0,0.0024308023941110373,0.0,0.0,0.0024618198440240773,0.0,-0.0024308023941110373
RJ,macae,211,34575.8,0,0.0,0,0.0024193363450822117,0.0,0.0,0.0023949356697724627,0.0,-0.0024193363450822117
SP,sao carlos,206,32180.49,0,0.0,0,0.0023620060999380832,0.0,0.0,0.002229021551829778,0.0,-0.0023620060999380832
RJ,petropolis,201,36604.659999999996,0,0.0,0,0.002304675854793955,0.0,0.0,0.0025354671739740878,0.0,-0.002304675854793955
SP,suzano,201,25947.66,0,0.0,0,0.002304675854793955,0.0,0.0,0.0017972968515877618,0.0,-0.002304675854793955
RS,caxias do sul,199,37203.33,0,0.0,0,0.002281743756736304,0.0,0.0,0.002576934794026919,0.0,-0.002281743756736304
MG,montes claros,198,30198.79,0,0.0,0,0.0022702777077074784,0.0,0.0,0.0020917566435185286,0.0,-0.0022702777077074784
SE,aracaju,198,39317.85,0,0.0,0,0.0022702777077074784,0.0,0.0,0.0027233996443686978,0.0,-0.0022702777077074784
SP,guaruja,193,31099.54,0,0.0,0,0.00221294746256335,0.0,0.0,0.0021541482094272727,0.0,-0.00221294746256335
RS,canoas,192,30708.2,0,0.0,0,0.0022014814135345243,0.0,0.0,0.0021270415589662926,0.0,-0.0022014814135345243
RN,natal,191,41662.47,0,0.0,0,0.0021900153645056986,0.0,0.0,0.0028858026565929096,0.0,-0.0021900153645056986
SP,americana,191,25821.97,0,0.0,0,0.0021900153645056986,0.0,0.0,0.0017885907778502433,0.0,-0.0021900153645056986
MG,betim,177,29475.54,0,0.0,0,0.0020294906781021397,0.0,0.0,0.002041659835254861,0.0,-0.0020294906781021397
SP,marilia,177,35905.2,0,0.0,0,0.0020294906781021397,0.0,0.0,0.0024870182095660612,0.0,-0.0020294906781021397
RS,santa maria,174,35323.68,0,0.0,0,0.001995092531015663,0.0,0.0,0.0024467385055335854,0.0,-0.001995092531015663
SP,jacarei,172,19936.39,0,0.0,0,0.001972160432958011,0.0,0.0,0.0013809187795364105,0.0,-0.001972160432958011
RS,pelotas,170,25538.27,0,0.0,0,0.00194922833490036,0.0,0.0,0.001768939945490198,0.0,-0.00194922833490036
BA,feira de santana,165,29836.88,0,0.0,0,0.0018918980897562319,0.0,0.0,0.0020666884985082222,0.0,-0.0018918980897562319
MG,uberaba,164,29123.88,0,0.0,0,0.001880432040727406,0.0,0.0,0.002017301669207157,0.0,-0.001880432040727406
SC,blumenau,164,26970.71,0,0.0,0,0.001880432040727406,0.0,0.0,0.0018681596786795636,0.0,-0.001880432040727406
SP,valinhos,163,22734.26,0,0.0,0,0.0018689659916985805,0.0,0.0,0.0015747167151557244,0.0,-0.0018689659916985805
SP,limeira,160,22334.6,0,0.0,0,0.0018345678446121036,0.0,0.0,0.0015470337695758316,0.0,-0.0018345678446121036
MG,ipatinga,157,24370.05,0,0.0,0,0.0018001696975256266,0.0,0.0,0.0016880217383007305,0.0,-0.0018001696975256266
SP,itapevi,155,18760.9,0,0.0,0,0.0017772375994679753,0.0,0.0,0.0012994970067802972,0.0,-0.0017772375994679753
SP,sumare,155,21661.19,0,0.0,0,0.0017772375994679753,0.0,0.0,0.0015003891907264203,0.0,-0.0017772375994679753
SC,sao jose,153,22717.59,0,0.0,0,0.0017543055014103241,0.0,0.0,0.0015735620469306915,0.0,-0.0017543055014103241
SP,itaquaquecetuba,150,17956.44,0,0.0,0,0.001719907354323847,0.0,0.0,0.0012437750871456058,0.0,-0.001719907354323847
SP,santana de parnaiba,148,22384.99,0,0.0,0,0.0016969752562661959,0.0,0.0,0.0015505240954222282,0.0,-0.0016969752562661959
SP,embu das artes,145,21052.32,0,0.0,0,0.0016625771091797188,0.0,0.0,0.001458215055022999,0.0,-0.0016625771091797188
SP,presidente prudente,145,27987.31,0,0.0,0,0.0016625771091797188,0.0,0.0,0.0019385757385217274,0.0,-0.0016625771091797188
SP,franca,144,24614.11,0,0.0,0,0.0016511110601508932,0.0,0.0,0.0017049268568971093,0.0,-0.0016511110601508932
SP,sao vicente,142,19113.26,0,0.0,0,0.001628178962093242,0.0,0.0,0.001323903659196178,0.0,-0.001628178962093242
SP,atibaia,140,22134.34,0,0.0,0,0.0016052468640355905,0.0,0.0,0.001533162512302576,0.0,-0.0016052468640355905
SP,rio claro,134,20767.76,0,0.0,0,0.0015364505698626366,0.0,0.0,0.0014385046536963353,0.0,-0.0015364505698626366
SP,araraquara,132,20925.95,0,0.0,0,0.0015135184718049854,0.0,0.0,0.0014494618802421077,0.0,-0.0015135184718049854
SP,hortolandia,130,17571.97,0,0.0,0,0.0014905863737473342,0.0,0.0,0.0012171442957551704,0.0,-0.0014905863737473342
AM,manaus,129,25190.21,0,0.0,0,0.0014791203247185086,0.0,0.0,0.0017448311379074087,0.0,-0.0014791203247185086
RJ,nova friburgo,129,30108.97,0,0.0,0,0.0014791203247185086,0.0,0.0,0.0020855351498189193,0.0,-0.0014791203247185086
SP,aracatuba,129,18866.4,0,0.0,0,0.0014791203247185086,0.0,0.0,0.0013068045951270886,0.0,-0.0014791203247185086
MG,divinopolis,128,37423.71,0,0.0,0,0.0014676542756896828,0.0,0.0,0.002592199688054084,0.0,-0.0014676542756896828
PR,cascavel,126,23477.33,0,0.0,0,0.0014447221776320315,0.0,0.0,0.001626186380301226,0.0,-0.0014447221776320315
SP,braganca paulista,126,21107.65,0,0.0,0,0.0014447221776320315,0.0,0.0,0.0014620475560962502,0.0,-0.0014447221776320315
MG,governador valadares,125,20916.17,0,0.0,0,0.001433256128603206,0.0,0.0,0.0014487844564124237,0.0,-0.001433256128603206
PR,ponta grossa,125,20583.89,0,0.0,0,0.001433256128603206,0.0,0.0,0.001425768670100842,0.0,-0.001433256128603206
RJ,marica,125,17450.25,0,0.0,0,0.001433256128603206,0.0,0.0,0.0012087132089914597,0.0,-0.001433256128603206
RJ,rio das ostras,124,21804.76,0,0.0,0,0.0014217900795743803,0.0,0.0,0.0015103337448396797,0.0,-0.0014217900795743803
PE,jaboatao dos guararapes,123,23870.01,0,0.0,0,0.0014103240305455547,0.0,0.0,0.0016533858475241462,0.0,-0.0014103240305455547
ES,cariacica,122,17794.01,0,0.0,0,0.0013988579815167289,0.0,0.0,0.001232524171741157,0.0,-0.0013988579815167289
MG,pouso alegre,118,23545.08,0,0.0,0,0.0013529937854014264,0.0,0.0,0.0016308791680784312,0.0,-0.0013529937854014264
PR,sao jose dos pinhais,118,16719.79,0,0.0,0,0.0013529937854014264,0.0,0.0,0.0011581169911355608,0.0,-0.0013529937854014264
RJ,sao joao de meriti,115,19551.87,0,0.0,0,0.0013185956383149494,0.0,0.0,0.0013542845248339624,0.0,-0.0013185956383149494
SP,itu,115,13433.03,0,0.0,0,0.0013185956383149494,0.0,0.0,0.000930455483318494,0.0,-0.0013185956383149494
MG,sete lagoas,113,18087.21,0,0.0,0,0.0012956635402572982,0.0,0.0,0.0012528330333836145,0.0,-0.0012956635402572982
RJ,barra mansa,113,21260.94,0,0.0,0,0.0012956635402572982,0.0,0.0,0.0014726653780647776,0.0,-0.0012956635402572982
SP,santa barbara d'oeste,112,14266.35,0,0.0,0,0.0012841974912284726,0.0,0.0,0.000988176426646914,0.0,-0.0012841974912284726
RS,novo hamburgo,111,19359.07,0,0.0,0,0.001272731442199647,0.0,0.0,0.0013409299937130012,0.0,-0.001272731442199647
