group,purchase_hour,orders,gmv,order_share
all_users,0,2162,330984.05,0.023988371964006345
all_users,1,1073,165313.79,0.011905422348463835
all_users,2,469,60988.0,0.005203768016243745
all_users,3,238,35528.34,0.0026407180977953333
all_users,4,190,26496.69,0.0021081362965592997
all_users,5,169,23675.03,0.001875131758518535
all_users,6,436,59592.14,0.004837618027893972
all_users,7,1113,161504.33,0.012349240516160528
all_users,8,2702,422972.46,0.029979917227911726
all_users,9,4347,728540.02,0.048231939374438294
all_users,10,5608,893633.69,0.06222330711107659
all_users,11,5978,934647.16,0.06632862516227102
all_users,12,5341,883798.11,0.05926082084170115
all_users,13,5914,938002.36,0.0656185160939563
all_users,14,5963,996852.46,0.06616219334938475
all_users,15,5841,960652.15,0.06480854793790984
all_users,16,6050,996347.1,0.06712749786412507
all_users,17,5573,887270.89,0.06183496621434199
all_users,18,5214,868619.36,0.05785169815926415
all_users,19,5424,869006.97,0.060181743539671796
all_users,20,5625,906540.98,0.06241192983234769
all_users,21,5641,883061.8,0.06258945709942637
all_users,22,5274,836645.3,0.05851742541080919
all_users,23,3782,566374.31,0.04196300775572248
high_value_users,0,1,32.65,0.02857142857142857
high_value_users,1,2,305.45,0.05714285714285714
high_value_users,6,1,192.12,0.02857142857142857
high_value_users,8,1,81.89,0.02857142857142857
high_value_users,9,1,115.4,0.02857142857142857
high_value_users,10,4,405.57,0.11428571428571428
high_value_users,11,2,189.76,0.05714285714285714
high_value_users,12,2,435.35,0.05714285714285714
high_value_users,13,1,133.08,0.02857142857142857
high_value_users,15,1,159.23,0.02857142857142857
high_value_users,16,1,21.77,0.02857142857142857
high_value_users,17,1,253.08,0.02857142857142857
high_value_users,18,2,222.41,0.05714285714285714
high_value_users,20,2,55.760000000000005,0.05714285714285714
high_value_users,21,3,254.69,0.08571428571428572
high_value_users,22,7,783.28,0.2
high_value_users,23,3,122.49000000000001,0.08571428571428572
