group,order_value_band,orders,gmv,order_share,gmv_share
all_users,"[0,50)",15338,566008.0,0.17018396467168187,0.03920524611365672
all_users,"[50,100)",27415,2007731.15,0.304185251758649,0.13906798820123573
all_users,"[100,200)",29040,4120225.92,0.32221556487584047,0.2853925584752648
all_users,"[200,500)",14504,4206794.48,0.16093025320107404,0.29138883715066316
all_users,"[500,+inf)",3829,3536287.94,0.04248496549275459,0.2449453700591796
high_value_users,"[0,50)",7,200.13,0.2,0.05316978304879409
high_value_users,"[50,100)",14,1035.95,0.4,0.27522728601108404
high_value_users,"[100,200)",10,1407.89,0.2857142857142857,0.37404290139692564
high_value_users,"[200,500)",4,1120.01,0.11428571428571428,0.29756002954319627
high_value_users,"[500,+inf)",0,0.0,0.0,0.0
