profile_state,all_users,all_user_gmv,high_value_users,high_value_gmv,high_value_churn_users,all_user_share,high_value_user_share,high_value_penetration,all_gmv_share,high_value_gmv_share,user_share_gap
SP,36089,5327977.93,3,2641.26,1,0.4137982434012888,0.75,8.312782288231871e-05,0.36904899936711366,0.7017199878851641,0.3362017565987112
PE,1466,293590.85,1,1122.72,0,0.0168092278762584,0.25,0.0006821282401091405,0.02033593435246087,0.29828001211483585,0.2331907721237416
RJ,11220,1944388.85,0,0.0,0,0.12864907010342377,0.0,0.0,0.13468050523119807,0.0,-0.12864907010342377
MG,10314,1705547.16,0,0.0,0,0.11826082968330773,0.0,0.0,0.11813683934899905,0.0,-0.11826082968330773
RS,4887,809934.4,0,0.0,0,0.05603458160387094,0.0,0.0,0.05610111074033739,0.0,-0.05603458160387094
PR,4452,734282.34,0,0.0,0,0.05104685027633178,0.0,0.0,0.05086097697667129,0.0,-0.05104685027633178
SC,3256,557241.72,0,0.0,0,0.03733345563785631,0.0,0.0,0.03859803885704333,0.0,-0.03733345563785631
BA,2999,564894.54,0,0.0,0,0.034386681037448116,0.0,0.0,0.03912812092578356,0.0,-0.034386681037448116
DF,1875,321828.49,0,0.0,0,0.02149884192904809,0.0,0.0,0.022291849508905368,0.0,-0.02149884192904809
ES,1828,298460.75,0,0.0,0,0.020959937624693285,0.0,0.0,0.020673254015873572,0.0,-0.020959937624693285
GO,1780,313281.42,0,0.0,0,0.020409567271309652,0.0,0.0,0.021699826104818055,0.0,-0.020409567271309652
CE,1204,254846.94,0,0.0,0,0.013805123030706079,0.0,0.0,0.017652289374023526,0.0,-0.013805123030706079
PA,880,201061.65,0,0.0,0,0.010090123145366569,0.0,0.0,0.013926784554755246,0.0,-0.010090123145366569
MT,816,175808.32,0,0.0,0,0.009356296007521728,0.0,0.0,0.01217758133176301,0.0,-0.009356296007521728
MA,671,143068.85,0,0.0,0,0.00769371889834201,0.0,0.0,0.009909841336956078,0.0,-0.00769371889834201
MS,646,127869.6,0,0.0,0,0.007407067672621368,0.0,0.0,0.008857046434776257,0.0,-0.007407067672621368
PB,474,128393.93,0,0.0,0,0.005434907239663357,0.0,0.0,0.008893364802528609,0.0,-0.005434907239663357
PI,445,101407.31,0,0.0,0,0.005102391817827413,0.0,0.0,0.007024103097966605,0.0,-0.005102391817827413
RN,444,94734.55,0,0.0,0,0.005090925768798588,0.0,0.0,0.006561906100649669,0.0,-0.005090925768798588
AL,372,91282.08,0,0.0,0,0.004265370238723141,0.0,0.0,0.006322766484160121,0.0,-0.004265370238723141
SE,306,64918.26,0,0.0,0,0.0035086110028206483,0.0,0.0,0.004496643794028276,0.0,-0.0035086110028206483
TO,254,57341.86,0,0.0,0,0.0029123764533217143,0.0,0.0,0.003971855051368263,0.0,-0.0029123764533217143
RO,223,53896.35,0,0.0,0,0.0025569289334281195,0.0,0.0,0.0037331975279108814,0.0,-0.0025569289334281195
AM,136,27083.68,0,0.0,0,0.001559382667920288,0.0,0.0,0.0018759846858410522,0.0,-0.001559382667920288
AC,73,18981.73,0,0.0,0,0.0008370215791042722,0.0,0.0,0.0013147930706155764,0.0,-0.0008370215791042722
AP,64,15884.41,0,0.0,0,0.0007338271378448414,0.0,0.0,0.0011002533593522175,0.0,-0.0007338271378448414
RR,40,9039.52,0,0.0,0,0.0004586419611530259,0.0,0.0,0.00062613356410037,0.0,-0.0004586419611530259
