hour,valid_order_count,order_share,unique_user_count,paid_order_count,gmv,gmv_share,average_order_value
0,2321,0.0240573,2290,2321,360018.23,0.02334376,155.113412
1,1133,0.01174361,1121,1133,171604.47,0.01112692,151.460256
2,496,0.00514107,488,496,64572.21,0.00418689,130.185907
3,259,0.00268455,256,259,37551.29,0.00243484,144.985676
4,203,0.00210411,199,203,28209.97,0.00182915,138.965369
5,182,0.00188644,179,182,25620.74,0.00166126,140.773297
6,478,0.0049545,473,478,63569.25,0.00412186,132.990063
7,1199,0.0124277,1189,1199,173948.18,0.01127889,145.077715
8,2907,0.03013122,2863,2907,452537.94,0.02934278,155.671806
9,4647,0.04816642,4588,4647,775133.99,0.05026007,166.803097
10,5978,0.06196231,5903,5978,951042.29,0.06166605,159.09038
11,6385,0.06618089,6328,6385,996529.71,0.06461548,156.073565
12,5803,0.06014843,5745,5802,950162.65,0.06160901,163.764676
13,6309,0.06539315,6228,6309,989086.3,0.06413284,156.773863
14,6383,0.06616016,6311,6383,1075200.03,0.0697165,168.447443
15,6249,0.06477124,6176,6249,1026466.49,0.06655659,164.26092
16,6476,0.06712411,6425,6476,1059479.71,0.06869719,163.600943
17,5963,0.06180684,5896,5963,949516.54,0.06156712,159.234704
18,5585,0.05788885,5529,5585,927806.9,0.06015946,166.124781
19,5801,0.0601277,5743,5801,931845.52,0.06042132,160.635325
20,6007,0.0622629,5938,6007,968162.96,0.06277616,161.172459
21,6040,0.06260495,5989,6040,946069.46,0.06134361,156.634017
22,5659,0.05865586,5586,5659,896663.21,0.05814008,158.449056
23,4015,0.04161571,3961,4015,601663.73,0.03901217,149.85398
