customer_state,prior_start_month,prior_end_month,recent_start_month,recent_end_month,prior_unique_users,recent_unique_users,prior_valid_orders,recent_valid_orders,prior_paid_orders,recent_paid_orders,prior_gmv,recent_gmv,recent_spend_per_user,user_growth_rate,gmv_growth_rate,recent_user_share,recent_gmv_share,sample_prior_user_threshold,sample_recent_user_threshold,is_sample_eligible,eligible_recent_users_q25,eligible_recent_users_median,eligible_recent_users_q75,eligible_spend_per_user_median,eligible_spend_per_user_q75,eligible_user_share_median,eligible_user_growth_median,eligible_gmv_growth_median,growth_strength,is_large_scale_low_spend,is_medium_scale_fast_growth,is_high_spend_low_penetration,potential_market_type,recent_user_rank,recent_gmv_rank,user_growth_rank,gmv_growth_rank
SP,2017-08,2018-01,2018-02,2018-07,12807,16833,13133,17196,13133,17196,1840581.39,2466024.05,146.499379,0.31435933,0.33980712,0.43647254,0.38598244,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.32708323,1,0,0,规模较大但人均消费较低,1,1,3,6
RJ,2017-08,2018-01,2018-02,2018-07,4281,4660,4390,4769,4390,4769,745211.41,784913.62,168.436399,0.08853072,0.05327644,0.12083182,0.12285479,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.07090358,1,0,0,规模较大但人均消费较低,2,2,17,19
MG,2017-08,2018-01,2018-02,2018-07,3840,4446,3931,4533,3931,4533,637194.66,742914.49,167.097276,0.1578125,0.16591449,0.11528289,0.11628108,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.1618635,1,0,0,规模较大但人均消费较低,3,3,12,15
RS,2017-08,2018-01,2018-02,2018-07,1829,2035,1867,2077,1867,2077,297252.77,341026.72,167.580698,0.11262985,0.14726171,0.05276669,0.05337755,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.12994578,1,0,0,规模较大但人均消费较低,4,5,14,16
PR,2017-08,2018-01,2018-02,2018-07,1560,1981,1590,2013,1590,2013,236593.53,344673.74,173.989773,0.26987179,0.45681811,0.05136649,0.05394838,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.36334495,1,0,0,规模较大但人均消费较低,5,4,5,4
SC,2017-08,2018-01,2018-02,2018-07,1242,1352,1270,1372,1270,1372,196597.42,249800.99,184.764046,0.08856683,0.27062191,0.03505679,0.03909889,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.17959437,1,0,0,规模较大但人均消费较低,6,7,16,11
BA,2017-08,2018-01,2018-02,2018-07,1109,1307,1136,1339,1136,1339,196874.5,251895.31,192.727858,0.17853922,0.27947149,0.03388995,0.03942669,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.22900536,0,1,0,当前规模中等但增长较快,7,6,10,10
DF,2017-08,2018-01,2018-02,2018-07,676,888,690,915,690,915,111835.97,149483.77,168.337579,0.31360947,0.33663409,0.02302546,0.02339722,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.32512178,1,1,0,规模较大但人均消费较低；当前规模中等但增长较快,8,8,4,7
ES,2017-08,2018-01,2018-02,2018-07,686,785,708,799,708,799,107511.92,136012.06,173.263771,0.14431487,0.26508819,0.02035472,0.02128863,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.20470153,1,1,0,规模较大但人均消费较低；当前规模中等但增长较快,9,9,13,12
GO,2017-08,2018-01,2018-02,2018-07,684,755,701,772,701,772,113391.9,135074.48,178.906596,0.10380117,0.19121807,0.01957683,0.02114188,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.14750962,1,0,0,规模较大但人均消费较低,10,10,15,13
PE,2017-08,2018-01,2018-02,2018-07,547,658,562,667,562,667,111741.25,132966.28,202.076413,0.20292505,0.18994803,0.01706166,0.0208119,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.19643654,0,0,0,未命中重点类型,11,11,9,14
CE,2017-08,2018-01,2018-02,2018-07,463,495,469,501,469,501,96109.1,105562.86,213.258303,0.06911447,0.09836488,0.01283514,0.01652271,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.08373967,0,0,0,未命中重点类型,12,12,19,18
MT,2017-08,2018-01,2018-02,2018-07,319,345,327,354,327,354,65765.16,73815.24,213.957217,0.0815047,0.12240645,0.0089457,0.01155357,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.10195558,0,0,0,未命中重点类型,13,14,18,17
PA,2017-08,2018-01,2018-02,2018-07,341,336,346,341,346,341,77065.38,76522.58,227.745774,-0.01466276,-0.00704337,0.00871234,0.01197733,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.01085306,0,0,1,人均消费较高但渗透规模较小,14,13,23,21
MS,2017-08,2018-01,2018-02,2018-07,228,302,237,306,237,306,42393.01,55891.96,185.072715,0.3245614,0.31842396,0.00783073,0.00874822,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.32149268,0,1,0,当前规模中等但增长较快,15,17,2,8
MA,2017-08,2018-01,2018-02,2018-07,268,258,275,262,275,262,61983.59,57128.32,221.427597,-0.03731343,-0.07833154,0.00668983,0.00894173,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.05782249,0,0,0,未命中重点类型,16,16,24,22
PB,2017-08,2018-01,2018-02,2018-07,161,204,164,210,164,210,41607.86,59997.27,294.104265,0.26708075,0.44196962,0.00528963,0.00939078,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.35452518,0,0,1,人均消费较高但渗透规模较小,17,15,6,5
PI,2017-08,2018-01,2018-02,2018-07,162,188,166,191,166,191,29731.85,49114.54,261.247553,0.16049383,0.65191672,0.00487476,0.00768741,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.40620527,0,0,1,人均消费较高但渗透规模较小,18,18,11,2
RN,2017-08,2018-01,2018-02,2018-07,175,177,179,179,179,179,33317.32,43595.12,246.300113,0.01142857,0.30848219,0.00458953,0.00682351,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.15995538,0,0,1,人均消费较高但渗透规模较小,19,19,21,9
AL,2017-08,2018-01,2018-02,2018-07,136,144,138,146,138,146,37334.34,34091.23,236.744653,0.05882353,-0.08686668,0.00373386,0.00533596,129,129,1,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.01402157,0,0,1,人均消费较高但渗透规模较小,20,20,20,23
TO,2017-08,2018-01,2018-02,2018-07,90,114,91,115,91,115,17908.68,26405.06,231.623333,0.26666667,0.47442804,0.00295597,0.00413292,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.37054735,0,0,0,样本不足（不做潜力判断）,21,21,7,3
SE,2017-08,2018-01,2018-02,2018-07,121,104,122,104,122,104,27348.4,23293.73,223.978173,-0.14049587,-0.14825986,0.00269668,0.00364594,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.14437786,0,0,0,样本不足（不做潜力判断）,22,22,26,26
RO,2017-08,2018-01,2018-02,2018-07,88,79,91,81,91,81,22613.57,20327.4,257.308861,-0.10227273,-0.10109726,0.00204844,0.00318165,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.10168499,0,0,0,样本不足（不做潜力判断）,23,23,25,24
AM,2017-08,2018-01,2018-02,2018-07,45,56,45,56,45,56,10774.5,10816.29,193.148036,0.24444444,0.0038786,0.00145206,0.00169297,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,0.12416152,0,0,0,样本不足（不做潜力判断）,24,24,8,20
AP,2017-08,2018-01,2018-02,2018-07,26,26,27,26,27,26,6829.21,5885.13,226.351154,0.0,-0.13824147,0.00067417,0.00092114,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.06912073,0,0,0,样本不足（不做潜力判断）,25,26,22,25
RR,2017-08,2018-01,2018-02,2018-07,7,20,7,21,7,21,904.77,6801.13,340.0565,1.85714286,6.51697116,0.00051859,0.00106451,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,4.18705701,0,0,0,样本不足（不做潜力判断）,26,25,1,1
AC,2017-08,2018-01,2018-02,2018-07,30,18,30,18,30,18,7171.49,4920.69,273.371667,-0.4,-0.31385389,0.00046673,0.00077019,129,129,0,291.0,706.5,1509.25,188.900286,223.007141,0.01831924,0.12847236,0.22815313,-0.35692694,0,0,0,样本不足（不做潜力判断）,27,27,27,27
