customer_state,unique_user_count,user_share,valid_order_count,paid_order_count,gmv,gmv_share,spend_per_user,average_order_value,user_rank,gmv_rank
SP,39150,0.41935346,40506,40505,5772454.12,0.37428876,147.44455,142.512137,1,1
RJ,11914,0.12761627,12351,12351,2055586.4,0.13328523,172.53537,166.430767,2,2
MG,10995,0.11777245,11351,11351,1818932.65,0.11794049,165.43271,160.244265,3,3
RS,5167,0.05534609,5345,5345,861886.46,0.05588514,166.805973,161.250975,4,4
PR,4766,0.05105079,4921,4921,780868.38,0.05063189,163.841456,158.680833,5,5
SC,3446,0.03691167,3547,3547,594893.45,0.03857318,172.633038,167.717353,6,6
BA,3156,0.03380535,3254,3254,590993.99,0.03832034,187.260453,181.620771,7,7
DF,2016,0.02159429,2077,2077,345250.2,0.02238619,171.25506,166.225421,8,8
ES,1928,0.02065168,1996,1996,317826.85,0.02060805,164.847951,159.231889,9,10
GO,1893,0.02027678,1956,1956,334486.07,0.02168824,176.696286,171.005148,10,9
PE,1547,0.01657062,1592,1592,308739.01,0.02001879,199.572728,193.931539,11,11
CE,1258,0.01347501,1281,1281,266728.51,0.01729481,212.025843,208.218977,12,12
PA,922,0.00987596,946,946,212027.55,0.01374797,229.964805,224.130603,13,13
MT,855,0.00915829,886,886,181540.96,0.01177121,212.328608,204.899503,14,14
MA,700,0.00749802,720,720,148268.88,0.00961383,211.812686,205.929,15,15
MS,680,0.00728379,700,700,134233.2,0.00870375,197.401765,191.761714,16,17
PB,502,0.00537715,515,515,137525.67,0.00891723,273.955518,267.040136,17,16
PI,464,0.00497012,476,476,105272.17,0.0068259,226.879677,221.160021,18,18
RN,464,0.00497012,474,474,100728.3,0.00653127,217.086853,212.506962,18,19
AL,387,0.00414533,397,397,94195.79,0.0061077,243.399974,237.268992,20,20
SE,328,0.00351336,336,336,70519.05,0.00457249,214.997104,209.878125,21,21
TO,267,0.00285996,274,274,60007.37,0.00389091,224.746704,219.005,22,22
RO,231,0.00247435,244,244,57132.98,0.00370453,247.328918,234.151557,23,23
AM,140,0.0014996,145,145,27596.18,0.00178935,197.115571,190.318483,24,24
AC,76,0.00081407,80,80,19586.25,0.00126998,257.713816,244.828125,25,25
AP,66,0.00070696,67,67,16141.81,0.00104664,244.572879,240.922537,26,26
RR,40,0.00042846,41,41,9039.52,0.00058613,225.988,220.476098,27,27
