"level","category_name","start_month","end_month","start_sales","end_sales","month_diff","category_cmgr"
category,agro_industry_and_commerce,"2017-01","2018-08",65.97,5021.09,19,0.25609869470420854
category,air_conditioning,"2016-10","2018-08",1349.29,3556.9,22,0.04504462110582752
category,art,"2017-03","2018-08",174.6,1481.39,17,0.13403121755424108
category,arts_and_craftmanship,"2017-05","2018-08",21.99,901.76,15,0.2809270073677623
category,audio,"2016-10","2018-08",156.99,2069.4,22,0.12436634818334236
category,auto,"2016-10","2018-08",1128.26,45032.58,22,0.18243717299266482
category,baby,"2016-10","2018-08",1371.17,21266.57,22,0.13270928690648565
category,bed_bath_table,"2016-10","2018-08",478.99,60891.09,22,0.2463691634400531
category,books_general_interest,"2017-01","2018-08",234.89,1564.78,19,0.10496056000496123
category,books_imported,"2017-04","2018-08",19.99,749.0,16,0.25416395237817735
category,books_technical,"2017-02","2018-08",159.0,1483.79,18,0.13210710899553013
category,cds_dvds_musicals,"2017-07","2018-04",225.0,65.0,9,-0.12887354224830305
category,christmas_supplies,"2017-04","2018-08",69.0,529.37,16,0.13581314272201883
category,cine_photo,"2017-02","2018-08",59.0,595.29,18,0.1370273749960007
category,computers,"2017-01","2018-08",2199.99,8711.5,19,0.07511874353088843
category,computers_accessories,"2016-10","2018-08",669.02,40052.64,22,0.20442970115049874
category,consoles_games,"2016-10","2018-08",3619.36,4381.31,22,0.008721932314093905
category,construction_tools_construction,"2017-02","2018-08",336.79,22917.16,18,0.2642189957433858
category,construction_tools_lights,"2017-07","2018-08",360.0,8212.53,13,0.2719644080173369
category,construction_tools_safety,"2017-02","2018-08",379.0,3970.22,18,0.1394005087754906
category,cool_stuff,"2016-10","2018-08",1046.1,15794.89,22,0.1313274806251683
category,costruction_tools_garden,"2017-02","2018-08",579.98,3688.76,18,0.10824830766888782
category,costruction_tools_tools,"2017-04","2018-08",729.0,1255.77,16,0.03457364518327544
category,diapers_and_hygiene,"2016-10","2018-08",134.9,231.89,22,0.024929737777469096
category,drinks,"2017-03","2018-08",463.87,1423.26,17,0.06817022539070905
category,dvds_blu_ray,"2017-01","2018-08",29.8,8.9,19,-0.06162254432289049
category,electronics,"2016-10","2018-08",107.99,10739.57,22,0.23253753060028282
category,fashio_female_clothing,"2016-10","2018-08",54.9,129.97,22,0.03994963764553994
category,fashion_bags_accessories,"2016-10","2018-08",373.3,8127.53,22,0.1503067367614257
category,fashion_childrens_clothes,"2017-05","2018-06",110.0,89.99,13,-0.015326096270369627
category,fashion_male_clothing,"2016-10","2018-08",24.9,381.69,22,0.1321054559689041
category,fashion_shoes,"2016-10","2018-08",29.99,471.3,22,0.13338699774040164
category,fashion_sport,"2017-03","2018-08",39.9,69.9,17,0.033531651298700726
category,fashion_underwear_beach,"2017-01","2018-08",137.25,160.0,19,0.008104758474922091
category,fixed_telephony,"2016-10","2018-08",704.88,2724.17,22,0.06337691538568002
category,flowers,"2017-11","2018-07",187.8,47.99,8,-0.15679748107786307
category,food,"2016-10","2018-08",79.9,8174.18,22,0.2341244984552573
category,food_drink,"2017-03","2018-08",85.8,1028.61,17,0.15732856857062227
category,furniture_bedroom,"2017-01","2018-08",73.2,2197.0,19,0.1960618282752824
category,furniture_decor,"2016-10","2018-08",5690.52,41168.55,22,0.09411823272988085
category,furniture_living_room,"2017-01","2018-08",1241.9,5223.34,19,0.07853644420679506
category,furniture_mattress_and_upholstery,"2017-04","2018-07",109.4,129.9,15,0.011516074164433787
category,garden_tools,"2016-10","2018-08",1359.88,16314.7,22,0.11956425229371637
category,health_beauty,"2016-09","2018-08",134.97,119391.01,23,0.3431325868624606
category,home_appliances,"2017-02","2018-08",740.9,6443.85,18,0.12768577343539445
category,home_appliances_2,"2017-01","2018-08",1916.78,7532.76,19,0.07469011898534417
category,home_comfort_2,"2017-01","2018-07",72.8,38.7,18,-0.03449523509140606
category,home_confort,"2017-02","2018-08",414.66,2241.28,18,0.09827559154629206
category,home_construction,"2017-02","2018-08",695.6,6286.16,18,0.13008873980439706
category,housewares,"2016-10","2018-08",1287.07,58763.36,22,0.18968509505752706
category,industry_commerce_and_business,"2016-10","2018-08",359.6,2364.69,22,0.08938088715120229
category,kitchen_dining_laundry_garden_furniture,"2017-01","2018-08",110.0,2011.47,19,0.16527227746855533
category,la_cuisine,"2017-04","2018-04",24.0,280.0,12,0.2271912003173564
category,luggage_accessories,"2017-01","2018-08",492.5,6599.75,19,0.14636302827860836
category,market_place,"2016-10","2018-08",915.29,949.27,22,0.0016582967833662643
category,music,"2017-01","2018-08",19.8,497.81,19,0.18496406531167664
category,musical_instruments,"2017-01","2018-08",339.74,10519.34,19,0.19802355879558342
category,office_furniture,"2016-10","2018-08",1300.88,6758.87,22,0.07777709084040274
category,party_supplies,"2017-07","2018-08",69.9,1285.29,13,0.2510396471527274
category,perfumery,"2016-10","2018-08",4829.1,24839.74,22,0.07728583041169923
category,pet_shop,"2016-10","2018-08",689.68,24608.07,22,0.17642703535441728
category,security_and_services,"2017-01","2017-09",183.29,100.0,8,-0.07294040411250702
category,signaling_and_security,"2017-03","2018-08",75.0,1825.59,17,0.2065616810144828
category,small_appliances,"2017-01","2018-08",1660.79,6168.06,19,0.07149773227783007
category,small_appliances_home_oven_and_coffee,"2017-06","2018-08",71.9,2996.72,14,0.30529410562241033
category,sports_leisure,"2016-10","2018-08",2012.15,50860.18,22,0.1581368708266917
category,stationery,"2017-01","2018-08",1561.99,15445.65,19,0.12817157902876875
category,tablets_printing_image,"2017-02","2018-06",792.0,50.0,16,-0.15857521310443778
category,telephony,"2016-10","2018-08",228.29,36572.91,22,0.2595412413427485
category,toys,"2016-10","2018-08",4106.5,16923.75,22,0.06648725928826127
category,unknown,"2016-10","2018-08",65.89,4221.65,22,0.2081504850822673
category,watches_gifts,"2016-10","2018-08",2711.07,69767.06,22,0.15908177411867497
platform,ALL,"2016-09","2018-08",134.97,838576.64,23,0.461929152899462
