"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2016-09",health_beauty,134.97,,1,,3,
"2016-10",air_conditioning,1349.29,,4,,8,
"2016-10",audio,156.99,,2,,2,
"2016-10",auto,1128.26,,8,,8,
"2016-10",baby,1371.17,,9,,11,
"2016-10",bed_bath_table,478.99,,5,,8,
"2016-10",computers_accessories,669.02,,12,,12,
"2016-10",consoles_games,3619.36,,7,,7,
"2016-10",cool_stuff,1046.1,,7,,7,
"2016-10",diapers_and_hygiene,134.9,,1,,1,
"2016-10",electronics,107.99,,1,,1,
"2016-10",fashio_female_clothing,54.9,,1,,1,
"2016-10",fashion_bags_accessories,373.3,,7,,8,
"2016-10",fashion_male_clothing,24.9,,1,,1,
"2016-10",fashion_shoes,29.99,,1,,1,
"2016-10",fixed_telephony,704.88,,5,,5,
"2016-10",food,79.9,,1,,1,
"2016-10",furniture_decor,5690.52,,49,,65,
"2016-10",garden_tools,1359.88,,5,,5,
"2016-10",health_beauty,3439.25,24.481588501148405,36,35.0,40,12.333333333333334
"2016-10",housewares,1287.07,,9,,12,
"2016-10",industry_commerce_and_business,359.6,,3,,4,
"2016-10",market_place,915.29,,5,,11,
"2016-10",office_furniture,1300.88,,6,,6,
"2016-10",perfumery,4829.1,,26,,29,
"2016-10",pet_shop,689.68,,4,,4,
"2016-10",sports_leisure,2012.15,,17,,17,
"2016-10",telephony,228.29,,7,,8,
"2016-10",toys,4106.5,,22,,24,
"2016-10",unknown,65.89,,2,,2,
"2016-10",watches_gifts,2711.07,,4,,4,
"2016-12",fashion_bags_accessories,10.9,,1,,1,
"2017-01",agro_industry_and_commerce,65.97,,2,,3,
"2017-01",air_conditioning,663.7,,3,,4,
"2017-01",auto,4820.03,,27,,31,
"2017-01",baby,6217.88,,31,,40,
"2017-01",bed_bath_table,3804.36,,43,,46,
"2017-01",books_general_interest,234.89,,2,,2,
