purchase_month,category_name,monthly_sales_amount,monthly_order_count,monthly_item_count,avg_item_price,items_per_order
2016-09,health_beauty,134.97,1,3,44.99,3.0
2016-10,air_conditioning,1349.29,4,8,168.66125,2.0
2016-10,audio,156.99,2,2,78.495,1.0
2016-10,auto,1128.26,8,8,141.0325,1.0
2016-10,baby,1371.17,9,11,124.651818,1.222222
2016-10,bed_bath_table,478.99,5,8,59.87375,1.6
2016-10,computers_accessories,669.02,12,12,55.751667,1.0
2016-10,consoles_games,3619.36,7,7,517.051429,1.0
2016-10,cool_stuff,1046.1,7,7,149.442857,1.0
2016-10,diapers_and_hygiene,134.9,1,1,134.9,1.0
2016-10,electronics,107.99,1,1,107.99,1.0
2016-10,fashio_female_clothing,54.9,1,1,54.9,1.0
2016-10,fashion_bags_accessories,373.3,7,8,46.6625,1.142857
2016-10,fashion_male_clothing,24.9,1,1,24.9,1.0
2016-10,fashion_shoes,29.99,1,1,29.99,1.0
2016-10,fixed_telephony,704.88,5,5,140.976,1.0
2016-10,food,79.9,1,1,79.9,1.0
2016-10,furniture_decor,5690.52,49,65,87.546462,1.326531
2016-10,garden_tools,1359.88,5,5,271.976,1.0
2016-10,health_beauty,3439.25,36,40,85.98125,1.111111
2016-10,housewares,1287.07,9,12,107.255833,1.333333
2016-10,industry_commerce_and_business,359.6,3,4,89.9,1.333333
2016-10,market_place,915.29,5,11,83.208182,2.2
2016-10,office_furniture,1300.88,6,6,216.813333,1.0
2016-10,perfumery,4829.1,26,29,166.52069,1.115385
2016-10,pet_shop,689.68,4,4,172.42,1.0
2016-10,sports_leisure,2012.15,17,17,118.361765,1.0
2016-10,telephony,228.29,7,8,28.53625,1.142857
2016-10,toys,4106.5,22,24,171.104167,1.090909
2016-10,unknown,65.89,2,2,32.945,1.0
2016-10,watches_gifts,2711.07,4,4,677.7675,1.0
2016-12,fashion_bags_accessories,10.9,1,1,10.9,1.0
2017-01,agro_industry_and_commerce,65.97,2,3,21.99,1.5
2017-01,air_conditioning,663.7,3,4,165.925,1.333333
2017-01,auto,4820.03,27,31,155.484839,1.148148
2017-01,baby,6217.88,31,40,155.447,1.290323
2017-01,bed_bath_table,3804.36,43,46,82.703478,1.069767
2017-01,books_general_interest,234.89,2,2,117.445,1.0
2017-01,computers,2199.99,1,1,2199.99,1.0
2017-01,computers_accessories,3924.14,24,31,126.585161,1.291667
2017-01,consoles_games,4514.44,19,21,214.973333,1.105263
2017-01,cool_stuff,6856.87,30,37,185.320811,1.233333
2017-01,dvds_blu_ray,29.8,1,2,14.9,2.0
2017-01,electronics,617.0,11,11,56.090909,1.0
2017-01,fashio_female_clothing,77.3,2,2,38.65,1.0
2017-01,fashion_bags_accessories,1671.97,30,35,47.770571,1.166667
2017-01,fashion_male_clothing,126.9,1,1,126.9,1.0
2017-01,fashion_shoes,34.9,1,1,34.9,1.0
