category_name,sales_amount,sales_share,cumulative_sales_amount,cumulative_sales_share,sales_rank,category_type
health_beauty,1233131.72,0.093267170614,1233131.72,0.093267170614,1,head
watches_gifts,1166176.98,0.088203089415,2399308.7,0.181470260029,2,head
bed_bath_table,1023434.76,0.077406868078,3422743.46,0.258877128108,3,head
sports_leisure,954852.55,0.072219694172,4377596.01,0.33109682228,4,head
computers_accessories,888724.61,0.06721814749,5266320.62,0.39831496977,5,head
furniture_decor,711927.69,0.053846219549,5978248.31,0.452161189319,6,head
housewares,615628.69,0.046562703022,6593877.0,0.498723892341,7,head
cool_stuff,610204.1,0.046152417443,7204081.1,0.544876309785,8,head
auto,578966.65,0.043789791836,7783047.75,0.588666101621,9,head
toys,471286.48,0.035645467411,8254334.23,0.624311569031,10,head
garden_tools,470495.28,0.035585625478,8724829.51,0.659897194509,11,head
baby,400421.84,0.030285663294,9125251.35,0.690182857803,12,head
perfumery,390144.65,0.029508354254,9515396.0,0.719691212057,13,head
telephony,309860.23,0.023436090784,9825256.23,0.743127302841,14,head
office_furniture,268154.31,0.02028168879,10093410.54,0.763408991631,15,head
stationery,223788.69,0.016926121998,10317199.23,0.780335113628,16,head
computers,218684.14,0.016540042451,10535883.37,0.796875156079,17,head
pet_shop,211695.64,0.016011471487,10747579.01,0.812886627565,18,head
musical_instruments,184315.74,0.013940609337,10931894.75,0.826827236902,19,long_tail
small_appliances,182754.12,0.013822497154,11114648.87,0.840649734056,20,long_tail
unknown,175967.21,0.013309173328,11290616.08,0.853958907384,21,long_tail
electronics,155043.93,0.01172665372,11445660.01,0.865685561105,22,long_tail
fashion_bags_accessories,149329.39,0.011294437949,11594989.4,0.876979999054,23,long_tail
consoles_games,148003.37,0.01119414523,11742992.77,0.888174144284,24,long_tail
construction_tools_construction,142108.49,0.010748289552,11885101.26,0.898922433836,25,long_tail
luggage_accessories,138701.63,0.01049061376,12023802.89,0.909413047596,26,long_tail
home_appliances_2,107953.95,0.00816503161,12131756.84,0.917578079206,27,long_tail
home_construction,81407.57,0.00615721224,12213164.41,0.923735291446,28,long_tail
home_appliances,78832.48,0.005962446868,12291996.89,0.929697738315,29,long_tail
agro_industry_and_commerce,70566.1,0.005337224225,12362562.99,0.93503496254,30,long_tail
furniture_living_room,67350.7,0.005094029394,12429913.69,0.940128991933,31,long_tail
home_confort,58008.45,0.004387433974,12487922.14,0.944516425908,32,long_tail
fixed_telephony,55315.21,0.004183732399,12543237.35,0.948700158306,33,long_tail
air_conditioning,53323.56,0.004033095157,12596560.91,0.952733253463,34,long_tail
audio,50570.6,0.003824876695,12647131.51,0.956558130159,35,long_tail
small_appliances_home_oven_and_coffee,46589.56,0.003523773147,12693721.07,0.960081903306,36,long_tail
kitchen_dining_laundry_garden_furniture,45531.98,0.003443783724,12739253.05,0.96352568703,37,long_tail
books_general_interest,45302.15,0.003426400671,12784555.2,0.966952087701,38,long_tail
construction_tools_lights,39957.0,0.003022123489,12824512.2,0.96997421119,39,long_tail
construction_tools_safety,38773.22,0.002932589006,12863285.42,0.972906800196,40,long_tail
industry_commerce_and_business,38498.81,0.002911834172,12901784.23,0.975818634368,41,long_tail
food,28731.15,0.002173063125,12930515.38,0.977991697493,42,long_tail
market_place,27795.77,0.002102316225,12958311.15,0.980094013718,43,long_tail
costruction_tools_garden,25096.28,0.001898141935,12983407.43,0.981992155653,44,long_tail
art,23657.3,0.001789305554,13007064.73,0.983781461207,45,long_tail
fashion_shoes,23001.46,0.001739701493,13030066.19,0.9855211627,46,long_tail
drinks,21529.84,0.001628396406,13051596.03,0.987149559105,47,long_tail
signaling_and_security,21315.05,0.001612150894,13072911.08,0.98876171,48,long_tail
furniture_bedroom,19051.8,0.001440971351,13091962.88,0.990202681351,49,long_tail
books_technical,18702.23,0.001414531836,13110665.11,0.991617213187,50,long_tail
costruction_tools_tools,15903.95,0.001202885624,13126569.06,0.992820098811,51,long_tail
food_drink,14942.88,0.001130195676,13141511.94,0.993950294487,52,long_tail
fashion_male_clothing,10452.33,0.000790555648,13151964.27,0.994740850135,53,long_tail
fashion_underwear_beach,9305.95,0.000703849891,13161270.22,0.995444700026,54,long_tail
christmas_supplies,8737.84,0.000660881235,13170008.06,0.996105581261,55,long_tail
tablets_printing_image,7528.41,0.00056940673,13177536.47,0.99667498799,56,long_tail
cine_photo,6674.47,0.000504819495,13184210.94,0.997179807486,57,long_tail
music,6034.35,0.000456404407,13190245.29,0.997636211892,58,long_tail
dvds_blu_ray,4542.59,0.000343576043,13194787.88,0.997979787935,59,long_tail
party_supplies,4465.19,0.000337721941,13199253.07,0.998317509876,60,long_tail
books_imported,4418.86,0.000334217799,13203671.93,0.998651727675,61,long_tail
