category_name,sales_amount,sales_share,category_order_count,item_count,avg_item_price,items_per_order,sales_rank
health_beauty,1233131.72,0.093267170614,8647,9465,130.28333,1.094599,1
watches_gifts,1166176.98,0.088203089415,5495,5859,199.040276,1.066242,2
bed_bath_table,1023434.76,0.077406868078,9272,10953,93.438762,1.181299,3
sports_leisure,954852.55,0.072219694172,7530,8431,113.254958,1.119655,4
computers_accessories,888724.61,0.06721814749,6530,7644,116.264339,1.170597,5
furniture_decor,711927.69,0.053846219549,6307,8160,87.24604,1.293801,6
housewares,615628.69,0.046562703022,5743,6795,90.600249,1.18318,7
cool_stuff,610204.1,0.046152417443,3559,3718,164.121598,1.044675,8
auto,578966.65,0.043789791836,3810,4140,139.847017,1.086614,9
toys,471286.48,0.035645467411,3804,4030,116.944536,1.059411,10
garden_tools,470495.28,0.035585625478,3448,4268,110.237882,1.237819,11
baby,400421.84,0.030285663294,2809,2982,134.279624,1.061588,12
perfumery,390144.65,0.029508354254,3086,3340,116.809775,1.082307,13
telephony,309860.23,0.023436090784,4093,4430,69.945876,1.082336,14
office_furniture,268154.31,0.02028168879,1254,1668,160.763975,1.330144,15
stationery,223788.69,0.016926121998,2264,2466,90.749672,1.089223,16
computers,218684.14,0.016540042451,177,199,1098.915276,1.124294,17
pet_shop,211695.64,0.016011471487,1688,1924,110.028919,1.13981,18
musical_instruments,184315.74,0.013940609337,611,651,283.127097,1.065466,19
small_appliances,182754.12,0.013822497154,609,658,277.741824,1.08046,20
unknown,175967.21,0.013309173328,1412,1559,112.871847,1.104108,21
electronics,155043.93,0.01172665372,2517,2729,56.813459,1.084227,22
fashion_bags_accessories,149329.39,0.011294437949,1820,1985,75.228912,1.090659,23
consoles_games,148003.37,0.01119414523,1018,1089,135.907594,1.069745,24
construction_tools_construction,142108.49,0.010748289552,736,916,155.140273,1.244565,25
luggage_accessories,138701.63,0.01049061376,1019,1077,128.785172,1.056919,26
home_appliances_2,107953.95,0.00816503161,227,231,467.333117,1.017621,27
home_construction,81407.57,0.00615721224,483,596,136.589883,1.233954,28
home_appliances,78832.48,0.005962446868,747,754,104.552361,1.009371,29
agro_industry_and_commerce,70566.1,0.005337224225,177,206,342.553883,1.163842,30
furniture_living_room,67350.7,0.005094029394,414,495,136.06202,1.195652,31
home_confort,58008.45,0.004387433974,392,429,135.217832,1.094388,32
fixed_telephony,55315.21,0.004183732399,212,255,216.922392,1.20283,33
air_conditioning,53323.56,0.004033095157,246,289,184.510588,1.174797,34
audio,50570.6,0.003824876695,348,362,139.69779,1.04023,35
small_appliances_home_oven_and_coffee,46589.56,0.003523773147,72,73,638.213151,1.013889,36
kitchen_dining_laundry_garden_furniture,45531.98,0.003443783724,241,274,166.175109,1.136929,37
books_general_interest,45302.15,0.003426400671,496,537,84.361546,1.082661,38
construction_tools_lights,39957.0,0.003022123489,242,301,132.747508,1.243802,39
construction_tools_safety,38773.22,0.002932589006,159,183,211.875519,1.150943,40
industry_commerce_and_business,38498.81,0.002911834172,232,265,145.278528,1.142241,41
food,28731.15,0.002173063125,441,499,57.577455,1.131519,42
market_place,27795.77,0.002102316225,274,305,91.133672,1.113139,43
costruction_tools_garden,25096.28,0.001898141935,190,232,108.173621,1.221053,44
art,23657.3,0.001789305554,195,197,120.087817,1.010256,45
fashion_shoes,23001.46,0.001739701493,235,257,89.499844,1.093617,46
drinks,21529.84,0.001628396406,287,361,59.639446,1.25784,47
signaling_and_security,21315.05,0.001612150894,138,197,108.198223,1.427536,48
furniture_bedroom,19051.8,0.001440971351,90,103,184.968932,1.144444,49
books_technical,18702.23,0.001414531836,256,263,71.111141,1.027344,50
costruction_tools_tools,15903.95,0.001202885624,97,103,154.407282,1.061856,51
food_drink,14942.88,0.001130195676,221,269,55.54974,1.217195,52
fashion_male_clothing,10452.33,0.000790555648,106,125,83.61864,1.179245,53
fashion_underwear_beach,9305.95,0.000703849891,117,127,73.275197,1.08547,54
christmas_supplies,8737.84,0.000660881235,125,150,58.252267,1.2,55
tablets_printing_image,7528.41,0.00056940673,79,83,90.703735,1.050633,56
cine_photo,6674.47,0.000504819495,63,70,95.349571,1.111111,57
music,6034.35,0.000456404407,38,38,158.798684,1.0,58
dvds_blu_ray,4542.59,0.000343576043,56,61,74.468689,1.089286,59
party_supplies,4465.19,0.000337721941,38,42,106.314048,1.105263,60
books_imported,4418.86,0.000334217799,50,57,77.52386,1.14,61
furniture_mattress_and_upholstery,4323.38,0.000326996227,37,37,116.848108,1.0,62
fashio_female_clothing,2634.94,0.000199292091,36,45,58.554222,1.25,63
fashion_sport,2094.52,0.000158417751,26,29,72.224828,1.115385,64
la_cuisine,2054.99,0.000155427924,13,14,146.785,1.076923,65
arts_and_craftmanship,1814.01,0.000137201547,23,24,75.58375,1.043478,66
diapers_and_hygiene,1500.79,0.000113511342,25,37,40.561892,1.48,67
flowers,1110.04,8.3957203e-05,29,33,33.637576,1.137931,68
home_comfort_2,760.27,5.7502561e-05,24,30,25.342333,1.25,69
cds_dvds_musicals,730.0,5.5213108e-05,12,14,52.142857,1.166667,70
fashion_childrens_clothes,519.95,3.9326103e-05,7,7,74.278571,1.0,71
security_and_services,283.29,2.1426468e-05,2,2,141.645,1.0,72
