category_name,valid_review_orders,avg_review_score,one_star_review_orders,one_star_rate,positive_4_5_review_orders,positive_4_5_rate,negative_text_review_orders,sample_status
office_furniture,1244,3.644694533762058,214,0.1720257234726688,790,0.635048231511254,170,eligible
fashion_male_clothing,105,3.8190476190476192,21,0.2,74,0.7047619047619048,18,eligible
audio,345,3.8405797101449277,56,0.16231884057971013,237,0.6869565217391305,39,eligible
home_confort,390,3.8846153846153846,57,0.14615384615384616,266,0.6820512820512821,49,eligible
furniture_mattress_and_upholstery,37,3.891891891891892,6,0.16216216216216217,27,0.7297297297297297,4,eligible
fashio_female_clothing,36,3.9166666666666665,3,0.08333333333333333,24,0.6666666666666666,3,eligible
fixed_telephony,209,3.9665071770334928,29,0.13875598086124402,156,0.7464114832535885,24,eligible
construction_tools_safety,158,3.9746835443037973,24,0.1518987341772152,119,0.7531645569620253,20,eligible
home_construction,481,3.9854469854469854,53,0.1101871101871102,360,0.7484407484407485,43,eligible
bed_bath_table,9177,3.998910319276452,1103,0.12019178380734445,6788,0.7396752751443827,860,eligible
unknown,1402,4.004279600570613,197,0.1405135520684736,1068,0.7617689015691869,160,eligible
fashion_underwear_beach,116,4.008620689655173,12,0.10344827586206896,89,0.7672413793103449,10,eligible
telephony,4069,4.051855492750062,425,0.1044482673875645,3086,0.758417301548292,330,eligible
furniture_decor,6260,4.057507987220447,725,0.11581469648562301,4743,0.7576677316293929,542,eligible
furniture_living_room,409,4.070904645476773,39,0.09535452322738386,310,0.7579462102689487,30,eligible
party_supplies,38,4.078947368421052,4,0.10526315789473684,28,0.7368421052631579,3,eligible
computers_accessories,6499,4.08108939836898,734,0.11294045237728881,5021,0.7725803969841514,596,eligible
market_place,272,4.088235294117647,26,0.09558823529411764,209,0.7683823529411765,20,eligible
art,193,4.098445595854923,20,0.10362694300518134,148,0.7668393782383419,17,eligible
baby,2787,4.103336921420882,305,0.10943667025475422,2147,0.770362396842483,232,eligible
agro_industry_and_commerce,177,4.107344632768362,16,0.0903954802259887,142,0.8022598870056498,11,eligible
christmas_supplies,123,4.1138211382113825,12,0.0975609756097561,98,0.7967479674796748,11,eligible
air_conditioning,242,4.115702479338843,27,0.1115702479338843,189,0.78099173553719,23,eligible
signaling_and_security,137,4.116788321167883,14,0.10218978102189781,105,0.7664233576642335,11,eligible
watches_gifts,5454,4.121195452878621,566,0.10377704437110377,4236,0.7766776677667767,442,eligible
electronics,2498,4.124499599679744,249,0.09967974379503602,1970,0.7886309047237791,198,eligible
kitchen_dining_laundry_garden_furniture,239,4.125523012552302,23,0.09623430962343096,186,0.7782426778242678,21,eligible
construction_tools_construction,731,4.125854993160055,79,0.10807113543091655,570,0.7797537619699042,62,eligible
auto,3792,4.145305907172996,375,0.09889240506329114,3007,0.7929852320675106,299,eligible
home_appliances_2,226,4.150442477876106,19,0.084070796460177,181,0.8008849557522124,15,eligible
construction_tools_lights,239,4.150627615062762,17,0.07112970711297072,186,0.7782426778242678,16,eligible
tablets_printing_image,77,4.1558441558441555,4,0.05194805194805195,62,0.8051948051948052,4,eligible
consoles_games,1009,4.178394449950446,84,0.08325074331020813,791,0.7839444995044599,65,eligible
garden_tools,3428,4.180280046674445,319,0.09305717619603267,2734,0.7975495915985997,258,eligible
housewares,5709,4.1930285514100545,498,0.08723068838675775,4546,0.7962865650726922,395,eligible
dvds_blu_ray,56,4.196428571428571,7,0.125,47,0.8392857142857143,4,eligible
music,38,4.2105263157894735,4,0.10526315789473684,30,0.7894736842105263,3,eligible
home_appliances,744,4.212365591397849,67,0.09005376344086022,601,0.8077956989247311,57,eligible
cool_stuff,3531,4.21750212404418,293,0.08297932596998017,2852,0.8077032002265647,221,eligible
industry_commerce_and_business,230,4.221739130434782,19,0.08260869565217391,186,0.808695652173913,16,eligible
computers,174,4.224137931034483,18,0.10344827586206896,144,0.8275862068965517,13,eligible
sports_leisure,7486,4.227491317125301,669,0.08936681806037937,6090,0.813518567993588,521,eligible
health_beauty,8601,4.229275665620277,776,0.0902220672014882,6954,0.8085106382978723,583,eligible
musical_instruments,605,4.234710743801653,51,0.08429752066115702,495,0.8181818181818182,38,eligible
drinks,287,4.2369337979094075,26,0.09059233449477352,237,0.8257839721254355,24,eligible
toys,3774,4.237678855325914,338,0.08956014838367779,3058,0.8102808691043986,245,eligible
fashion_bags_accessories,1811,4.2424075096631695,140,0.07730535615681944,1476,0.8150193263390392,102,eligible
costruction_tools_garden,190,4.247368421052632,18,0.09473684210526316,157,0.8263157894736842,15,eligible
small_appliances,604,4.254966887417218,53,0.08774834437086093,500,0.8278145695364238,41,eligible
furniture_bedroom,90,4.2555555555555555,9,0.1,75,0.8333333333333334,5,eligible
perfumery,3076,4.261378413524057,274,0.08907672301690507,2507,0.8150195058517555,201,eligible
fashion_shoes,231,4.264069264069264,17,0.0735930735930736,187,0.8095238095238095,14,eligible
pet_shop,1680,4.273809523809524,134,0.07976190476190476,1381,0.8220238095238095,104,eligible
stationery,2251,4.295424255886273,163,0.07241226121723679,1878,0.8342958685028876,124,eligible
food,437,4.327231121281464,34,0.07780320366132723,371,0.8489702517162472,28,eligible
cine_photo,63,4.333333333333333,5,0.07936507936507936,51,0.8095238095238095,4,eligible
luggage_accessories,1015,4.370443349753694,59,0.05812807881773399,863,0.8502463054187193,49,eligible
costruction_tools_tools,94,4.425531914893617,8,0.0851063829787234,85,0.9042553191489362,6,eligible
books_technical,255,4.427450980392157,17,0.06666666666666667,222,0.8705882352941177,10,eligible
small_appliances_home_oven_and_coffee,72,4.430555555555555,4,0.05555555555555555,63,0.875,4,eligible
books_imported,50,4.44,4,0.08,43,0.86,4,eligible
food_drink,221,4.4434389140271495,6,0.027149321266968326,188,0.8506787330316742,4,eligible
books_general_interest,492,4.534552845528455,26,0.052845528455284556,444,0.9024390243902439,20,eligible
security_and_services,2,2.5,1,0.5,1,0.5,1,small_sample
home_comfort_2,23,3.8260869565217392,4,0.17391304347826086,16,0.6956521739130435,2,small_sample
diapers_and_hygiene,25,3.96,3,0.12,18,0.72,3,small_sample
arts_and_craftmanship,23,4.173913043478261,3,0.13043478260869565,18,0.782608695652174,3,small_sample
la_cuisine,12,4.25,2,0.16666666666666666,10,0.8333333333333334,2,small_sample
fashion_sport,26,4.384615384615385,1,0.038461538461538464,22,0.8461538461538461,0,small_sample
flowers,28,4.392857142857143,2,0.07142857142857142,24,0.8571428571428571,2,small_sample
cds_dvds_musicals,12,4.666666666666667,0,0.0,11,0.9166666666666666,0,small_sample
fashion_childrens_clothes,7,5.0,0,0.0,7,1.0,0,small_sample
