rule_rank,product_a,category_a,product_b,category_b,antecedent_orders,consequent_orders,cooccurrence_orders,support,confidence,lift
1,ad4b5def91ac7c575dbdf65b5be311f4,computers_accessories,e6b314a2236c162ede1a879f1075430f,computers_accessories,9,9,6,6.219034391260183e-05,0.6666666666666666,7146.518518518518
2,e6b314a2236c162ede1a879f1075430f,computers_accessories,ad4b5def91ac7c575dbdf65b5be311f4,computers_accessories,9,9,6,6.219034391260183e-05,0.6666666666666666,7146.518518518518
3,3ce943997ff85cad84ec6770b35d6bcd,computers_accessories,b7d94dc0640c7025dc8e3b46b52d8239,computers_accessories,8,10,5,5.1825286593834865e-05,0.625,6029.875
4,b7d94dc0640c7025dc8e3b46b52d8239,computers_accessories,3ce943997ff85cad84ec6770b35d6bcd,computers_accessories,10,8,5,5.1825286593834865e-05,0.5,6029.875
5,946344697156947d846d27fe0d503033,bed_bath_table,ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,15,12,6,6.219034391260183e-05,0.4,3215.933333333334
6,ad0a798e7941f3a5a2fb8139cb62ad78,bed_bath_table,946344697156947d846d27fe0d503033,bed_bath_table,12,15,6,6.219034391260183e-05,0.5,3215.9333333333334
7,5d790355cbeded0cd60e25cbc4c527a2,computers_accessories,5fc3e6a4b52b0c414458104ed4037f1c,computers_accessories,15,19,6,6.219034391260183e-05,0.4,2031.1157894736843
8,5fc3e6a4b52b0c414458104ed4037f1c,computers_accessories,5d790355cbeded0cd60e25cbc4c527a2,computers_accessories,19,15,6,6.219034391260183e-05,0.3157894736842105,2031.1157894736841
9,e5ae72c62ebfa708624f5029d609b160,computers_accessories,5b8a5a9417210b1b84b67b9a7aefb935,computers_accessories,34,21,6,6.219034391260183e-05,0.17647058823529413,810.7394957983194
10,5b8a5a9417210b1b84b67b9a7aefb935,computers_accessories,e5ae72c62ebfa708624f5029d609b160,computers_accessories,21,34,6,6.219034391260183e-05,0.2857142857142857,810.7394957983192
11,060cb19345d90064d1015407193c233d,auto,98d61056e0568ba048e5d78038790e77,auto,25,37,6,6.219034391260183e-05,0.24,625.8032432432433
12,98d61056e0568ba048e5d78038790e77,auto,060cb19345d90064d1015407193c233d,auto,37,25,6,6.219034391260183e-05,0.16216216216216217,625.8032432432433
13,18486698933fbb64af6c0a255f7dd64c,computers_accessories,dbb67791e405873b259e4656bf971246,computers_accessories,16,63,6,6.219034391260183e-05,0.375,574.2738095238095
14,ee57070aa3b24a06fdd0e02efd2d757d,computers_accessories,0d85c435fd60b277ffb9e9b0f88f927a,computers_accessories,22,62,6,6.219034391260183e-05,0.2727272727272727,424.3900293255131
15,f4f67ccaece962d013a4e1d7dc3a61f7,auto,4fcb3d9a5f4871e8362dfedbdb02b064,auto,56,89,17,0.00017620597441903854,0.30357142857142855,329.0782504012841
16,4fcb3d9a5f4871e8362dfedbdb02b064,auto,f4f67ccaece962d013a4e1d7dc3a61f7,auto,89,56,17,0.00017620597441903854,0.19101123595505617,329.0782504012841
17,36f60d45225e60c7da4558b070ce4b60,computers_accessories,e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,110,154,34,0.0003524119488380771,0.3090909090909091,193.63943329397875
18,e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,36f60d45225e60c7da4558b070ce4b60,computers_accessories,154,110,34,0.0003524119488380771,0.22077922077922077,193.63943329397873
19,dfb97c88e066dc22165f31648efe1312,auto,a50acd33ba7a8da8e9db65094fa990a4,auto,34,78,5,5.1825286593834865e-05,0.14705882352941177,181.89668174962293
20,3f14d740544f37ece8a9e7bc8349797e,computers_accessories,36f60d45225e60c7da4558b070ce4b60,computers_accessories,78,110,12,0.00012438068782520367,0.15384615384615385,134.93426573426575
