problem_id,scenario,effect_type,assumption,target_scope,primary_metric,primary_effect_value,primary_effect_unit,simulated_incremental_gmv_brl,reference_value,reference_unit,interpretation_limit
CBP-01,conservative,repeat_purchase_growth,historical repeat rate relative uplift 10%,84593 single-purchase users,incremental_repeat_users,254.2232359483569,users,37200.53461369734,146.33019076688288,BRL historical second-order average GMV,Historical reference scenario; not causal forecast.
CBP-01,neutral,repeat_purchase_growth,historical repeat rate relative uplift 20%,84593 single-purchase users,incremental_repeat_users,508.4464718967138,users,74401.06922739468,146.33019076688288,BRL historical second-order average GMV,Historical reference scenario; not causal forecast.
CBP-01,optimistic,repeat_purchase_growth,historical repeat rate relative uplift 30%,84593 single-purchase users,incremental_repeat_users,762.6697078450707,users,111601.60384109202,146.33019076688288,BRL historical second-order average GMV,Historical reference scenario; not causal forecast.
CBP-02,conservative,aov_growth,AOV uplift 3%; paid orders held constant,46432 paid orders in 2018-01 to 2018-07,simulated_aov,165.65273405410065,BRL/order,224026.82760000043,160.82789713990354,BRL/order baseline AOV,Mathematical scenario with order volume held constant.
CBP-02,neutral,aov_growth,AOV uplift 5%; paid orders held constant,46432 paid orders in 2018-01 to 2018-07,simulated_aov,168.86929199689874,BRL/order,373378.046000001,160.82789713990354,BRL/order baseline AOV,Mathematical scenario with order volume held constant.
CBP-02,optimistic,aov_growth,AOV uplift 8%; paid orders held constant,46432 paid orders in 2018-01 to 2018-07,simulated_aov,173.69412891109585,BRL/order,597404.8736000014,160.82789713990354,BRL/order baseline AOV,Mathematical scenario with order volume held constant.
CBP-03,conservative,retention_user_recall,historical potential recall users x 30%,20391 important retention users,simulated_reactivated_users,339.59999999999997,users,56895.44699999999,167.53665194346289,BRL historical second-order average GMV,Historical RFM reference; not future recall probability.
CBP-03,neutral,retention_user_recall,historical potential recall users x 45%,20391 important retention users,simulated_reactivated_users,509.40000000000003,users,85343.1705,167.53665194346289,BRL historical second-order average GMV,Historical RFM reference; not future recall probability.
CBP-03,optimistic,retention_user_recall,historical potential recall users x 60%,20391 important retention users,simulated_reactivated_users,679.1999999999999,users,113790.89399999999,167.53665194346289,BRL historical second-order average GMV,Historical RFM reference; not future recall probability.
CBP-04,conservative,basket_structure,multi-product order count relative uplift 10%,3197 historical multi-product orders,simulated_new_multi_orders,319.70000000000005,orders,27991.281804577615,87.55483830021149,BRL historical multi-vs-single order GMV gap,Structural reference only; association is not causal.
CBP-04,neutral,basket_structure,multi-product order count relative uplift 20%,3197 historical multi-product orders,simulated_new_multi_orders,639.4000000000001,orders,55982.56360915523,87.55483830021149,BRL historical multi-vs-single order GMV gap,Structural reference only; association is not causal.
CBP-04,optimistic,basket_structure,multi-product order count relative uplift 30%,3197 historical multi-product orders,simulated_new_multi_orders,959.0999999999999,orders,83973.84541373282,87.55483830021149,BRL historical multi-vs-single order GMV gap,Structural reference only; association is not causal.
CBP-05,conservative,delivery_experience,delivery time reduction 5%,1244 office_furniture review orders,orders_crossing_to_faster_reference_group,141.0,orders,,0.03200184034490983,historical rating reference gap,Historical delivery-rating association; not predicted rating uplift.
CBP-05,neutral,delivery_experience,delivery time reduction 10%,1244 office_furniture review orders,orders_crossing_to_faster_reference_group,292.0,orders,,0.0613646467675073,historical rating reference gap,Historical delivery-rating association; not predicted rating uplift.
CBP-05,optimistic,delivery_experience,delivery time reduction 15%,1244 office_furniture review orders,orders_crossing_to_faster_reference_group,466.0,orders,,0.09811984987748268,historical rating reference gap,Historical delivery-rating association; not predicted rating uplift.
CBP-06,conservative,regional_pilot_growth,candidate-state GMV uplift 5%,"8 states: BA,DF,ES,GO,MS,PR,RS,SC",simulated_candidate_gmv,1747051.9815,BRL,83192.95150000001,1663859.03,BRL recent six-month candidate-state GMV,Historical regional pilot scenario; not forecast state growth.
CBP-06,neutral,regional_pilot_growth,candidate-state GMV uplift 10%,"8 states: BA,DF,ES,GO,MS,PR,RS,SC",simulated_candidate_gmv,1830244.933,BRL,166385.90300000002,1663859.03,BRL recent six-month candidate-state GMV,Historical regional pilot scenario; not forecast state growth.
CBP-06,optimistic,regional_pilot_growth,candidate-state GMV uplift 15%,"8 states: BA,DF,ES,GO,MS,PR,RS,SC",simulated_candidate_gmv,1913437.8845,BRL,249578.8545,1663859.03,BRL recent six-month candidate-state GMV,Historical regional pilot scenario; not forecast state growth.
CBP-07,conservative,payment_structure_shift,credit-card GMV share reduction 2pp,all platform payment GMV,simulated_shifted_gmv,308449.2354,BRL shifted between payment channels,0.0,0.7846409386819962,historical credit-card GMV share,Channel redistribution only; not incremental GMV.
CBP-07,neutral,payment_structure_shift,credit-card GMV share reduction 5pp,all platform payment GMV,simulated_shifted_gmv,771123.0885000001,BRL shifted between payment channels,0.0,0.7846409386819962,historical credit-card GMV share,Channel redistribution only; not incremental GMV.
CBP-07,optimistic,payment_structure_shift,credit-card GMV share reduction 10pp,all platform payment GMV,simulated_shifted_gmv,1542246.1770000001,BRL shifted between payment channels,0.0,0.7846409386819962,historical credit-card GMV share,Channel redistribution only; not incremental GMV.
